City{name=Ibadan, country=Nigeria, district=Oyo & Osun, population=1432000}
City{name=Ogbomosho, country=Nigeria, district=Oyo & Osun, population=730000}
City{name=Oshogbo, country=Nigeria, district=Oyo & Osun, population=476800}
City{name=Ilesha, country=Nigeria, district=Oyo & Osun, population=378400}
City{name=Iwo, country=Nigeria, district=Oyo & Osun, population=362000}
City{name=Ede, country=Nigeria, district=Oyo & Osun, population=307100}
City{name=Ife, country=Nigeria, district=Oyo & Osun, population=296800}
City{name=Ila, country=Nigeria, district=Oyo & Osun, population=264000}
City{name=Oyo, country=Nigeria, district=Oyo & Osun, population=256400}
City{name=Iseyin, country=Nigeria, district=Oyo & Osun, population=217300}
City{name=Ilobu, country=Nigeria, district=Oyo & Osun, population=199000}
City{name=Ikirun, country=Nigeria, district=Oyo & Osun, population=181400}
City{name=Shaki, country=Nigeria, district=Oyo & Osun, population=174500}
City{name=Effon-Alaiye, country=Nigeria, district=Oyo & Osun, population=153100}
City{name=Ikire, country=Nigeria, district=Oyo & Osun, population=123300}
City{name=Inisa, country=Nigeria, district=Oyo & Osun, population=119800}
City{name=Igboho, country=Nigeria, district=Oyo & Osun, population=106800}
City{name=Ejigbo, country=Nigeria, district=Oyo & Osun, population=105900}
