City{name=Curitiba, country=Brazil, district=Paraná, population=1584232}
City{name=Londrina, country=Brazil, district=Paraná, population=432257}
City{name=Maringá, country=Brazil, district=Paraná, population=286461}
City{name=Ponta Grossa, country=Brazil, district=Paraná, population=268013}
City{name=Foz do Iguaçu, country=Brazil, district=Paraná, population=259425}
City{name=Cascavel, country=Brazil, district=Paraná, population=237510}
City{name=São José dos Pinhais, country=Brazil, district=Paraná, population=196884}
City{name=Colombo, country=Brazil, district=Paraná, population=177764}
City{name=Guarapuava, country=Brazil, district=Paraná, population=160510}
City{name=Paranaguá, country=Brazil, district=Paraná, population=126076}
City{name=Apucarana, country=Brazil, district=Paraná, population=105114}
City{name=Toledo, country=Brazil, district=Paraná, population=99387}
City{name=Pinhais, country=Brazil, district=Paraná, population=98198}
City{name=Campo Largo, country=Brazil, district=Paraná, population=91203}
