City{name=Jaipur, country=India, district=Rajasthan, population=1458483}
City{name=Jodhpur, country=India, district=Rajasthan, population=666279}
City{name=Kota, country=India, district=Rajasthan, population=537371}
City{name=Bikaner, country=India, district=Rajasthan, population=416289}
City{name=Ajmer, country=India, district=Rajasthan, population=402700}
City{name=Udaipur, country=India, district=Rajasthan, population=308571}
City{name=Alwar, country=India, district=Rajasthan, population=205086}
City{name=Bhilwara, country=India, district=Rajasthan, population=183965}
City{name=Ganganagar, country=India, district=Rajasthan, population=161482}
City{name=Bharatpur, country=India, district=Rajasthan, population=148519}
City{name=Sikar, country=India, district=Rajasthan, population=148272}
City{name=Pali, country=India, district=Rajasthan, population=136842}
City{name=Beawar, country=India, district=Rajasthan, population=105363}
City{name=Tonk, country=India, district=Rajasthan, population=100079}
