City{name=Porto Alegre, country=Brazil, district=Rio Grande do Sul, population=1314032}
City{name=Caxias do Sul, country=Brazil, district=Rio Grande do Sul, population=349581}
City{name=Pelotas, country=Brazil, district=Rio Grande do Sul, population=315415}
City{name=Canoas, country=Brazil, district=Rio Grande do Sul, population=294125}
City{name=Novo Hamburgo, country=Brazil, district=Rio Grande do Sul, population=239940}
City{name=Santa Maria, country=Brazil, district=Rio Grande do Sul, population=238473}
City{name=Gravataí, country=Brazil, district=Rio Grande do Sul, population=223011}
City{name=Viamão, country=Brazil, district=Rio Grande do Sul, population=207557}
City{name=São Leopoldo, country=Brazil, district=Rio Grande do Sul, population=189258}
City{name=Rio Grande, country=Brazil, district=Rio Grande do Sul, population=182222}
City{name=Alvorada, country=Brazil, district=Rio Grande do Sul, population=175574}
City{name=Passo Fundo, country=Brazil, district=Rio Grande do Sul, population=166343}
City{name=Uruguaiana, country=Brazil, district=Rio Grande do Sul, population=126305}
City{name=Bagé, country=Brazil, district=Rio Grande do Sul, population=120793}
City{name=Sapucaia do Sul, country=Brazil, district=Rio Grande do Sul, population=120217}
City{name=Santa Cruz do Sul, country=Brazil, district=Rio Grande do Sul, population=106734}
City{name=Cachoeirinha, country=Brazil, district=Rio Grande do Sul, population=103240}
City{name=Guaíba, country=Brazil, district=Rio Grande do Sul, population=92224}
City{name=Santana do Livramento, country=Brazil, district=Rio Grande do Sul, population=91779}
City{name=Bento Gonçalves, country=Brazil, district=Rio Grande do Sul, population=89254}
