City{name=Rio de Janeiro, country=Brazil, district=Rio de Janeiro, population=5598953}
City{name=São Gonçalo, country=Brazil, district=Rio de Janeiro, population=869254}
City{name=Nova Iguaçu, country=Brazil, district=Rio de Janeiro, population=862225}
City{name=Duque de Caxias, country=Brazil, district=Rio de Janeiro, population=746758}
City{name=Niterói, country=Brazil, district=Rio de Janeiro, population=459884}
City{name=São João de Meriti, country=Brazil, district=Rio de Janeiro, population=440052}
City{name=Belford Roxo, country=Brazil, district=Rio de Janeiro, population=425194}
City{name=Campos dos Goytacazes, country=Brazil, district=Rio de Janeiro, population=398418}
City{name=Petrópolis, country=Brazil, district=Rio de Janeiro, population=279183}
City{name=Volta Redonda, country=Brazil, district=Rio de Janeiro, population=240315}
City{name=Magé, country=Brazil, district=Rio de Janeiro, population=196147}
City{name=Itaboraí, country=Brazil, district=Rio de Janeiro, population=173977}
City{name=Nova Friburgo, country=Brazil, district=Rio de Janeiro, population=170697}
City{name=Barra Mansa, country=Brazil, district=Rio de Janeiro, population=168953}
City{name=Nilópolis, country=Brazil, district=Rio de Janeiro, population=153383}
City{name=Teresópolis, country=Brazil, district=Rio de Janeiro, population=128079}
City{name=Macaé, country=Brazil, district=Rio de Janeiro, population=125597}
City{name=Cabo Frio, country=Brazil, district=Rio de Janeiro, population=119503}
City{name=Queimados, country=Brazil, district=Rio de Janeiro, population=115020}
City{name=Resende, country=Brazil, district=Rio de Janeiro, population=100627}
City{name=Angra dos Reis, country=Brazil, district=Rio de Janeiro, population=96864}
City{name=Barra do Piraí, country=Brazil, district=Rio de Janeiro, population=89388}
