City{name=Urawa, country=Japan, district=Saitama, population=469675}
City{name=Kawaguchi, country=Japan, district=Saitama, population=452155}
City{name=Omiya, country=Japan, district=Saitama, population=441649}
City{name=Kawagoe, country=Japan, district=Saitama, population=327211}
City{name=Tokorozawa, country=Japan, district=Saitama, population=325809}
City{name=Koshigaya, country=Japan, district=Saitama, population=301446}
City{name=Soka, country=Japan, district=Saitama, population=222768}
City{name=Ageo, country=Japan, district=Saitama, population=209442}
City{name=Kasukabe, country=Japan, district=Saitama, population=201838}
City{name=Sayama, country=Japan, district=Saitama, population=162472}
City{name=Kumagaya, country=Japan, district=Saitama, population=157171}
City{name=Niiza, country=Japan, district=Saitama, population=147744}
City{name=Iruma, country=Japan, district=Saitama, population=145922}
City{name=Misato, country=Japan, district=Saitama, population=132957}
City{name=Asaka, country=Japan, district=Saitama, population=114815}
City{name=Iwatsuki, country=Japan, district=Saitama, population=110034}
City{name=Toda, country=Japan, district=Saitama, population=103969}
City{name=Fukaya, country=Japan, district=Saitama, population=102156}
City{name=Sakado, country=Japan, district=Saitama, population=98221}
City{name=Fujimi, country=Japan, district=Saitama, population=96972}
City{name=Higashimatsuyama, country=Japan, district=Saitama, population=93342}
