City{name=Qingdao, country=China, district=Shandong, population=2596000}
City{name=Jinan, country=China, district=Shandong, population=2278100}
City{name=Zibo, country=China, district=Shandong, population=1140000}
City{name=Yantai, country=China, district=Shandong, population=452127}
City{name=Weifang, country=China, district=Shandong, population=428522}
City{name=Zaozhuang, country=China, district=Shandong, population=380846}
City{name=Tai´an, country=China, district=Shandong, population=350696}
City{name=Linyi, country=China, district=Shandong, population=324720}
City{name=Tengzhou, country=China, district=Shandong, population=315083}
City{name=Dongying, country=China, district=Shandong, population=281728}
City{name=Xintai, country=China, district=Shandong, population=281248}
City{name=Jining, country=China, district=Shandong, population=265248}
City{name=Laiwu, country=China, district=Shandong, population=246833}
City{name=Liaocheng, country=China, district=Shandong, population=207844}
City{name=Laizhou, country=China, district=Shandong, population=198664}
City{name=Dezhou, country=China, district=Shandong, population=195485}
City{name=Heze, country=China, district=Shandong, population=189293}
City{name=Rizhao, country=China, district=Shandong, population=185048}
City{name=Liangcheng, country=China, district=Shandong, population=156307}
City{name=Jiaozhou, country=China, district=Shandong, population=153364}
City{name=Pingdu, country=China, district=Shandong, population=150123}
City{name=Longkou, country=China, district=Shandong, population=148362}
City{name=Laiyang, country=China, district=Shandong, population=137080}
City{name=Wendeng, country=China, district=Shandong, population=133910}
City{name=Binzhou, country=China, district=Shandong, population=133555}
City{name=Weihai, country=China, district=Shandong, population=128888}
City{name=Qingzhou, country=China, district=Shandong, population=128258}
City{name=Linqing, country=China, district=Shandong, population=123958}
City{name=Jiaonan, country=China, district=Shandong, population=121397}
City{name=Zhucheng, country=China, district=Shandong, population=102134}
City{name=Junan, country=China, district=Shandong, population=90222}
City{name=Pingyi, country=China, district=Shandong, population=89373}
