City{name=Chengdu, country=China, district=Sichuan, population=3361500}
City{name=Panzhihua, country=China, district=Sichuan, population=415466}
City{name=Zigong, country=China, district=Sichuan, population=393184}
City{name=Leshan, country=China, district=Sichuan, population=341128}
City{name=Mianyang, country=China, district=Sichuan, population=262947}
City{name=Luzhou, country=China, district=Sichuan, population=262892}
City{name=Neijiang, country=China, district=Sichuan, population=256012}
City{name=Yibin, country=China, district=Sichuan, population=241019}
City{name=Daxian, country=China, district=Sichuan, population=188101}
City{name=Deyang, country=China, district=Sichuan, population=182488}
City{name=Guangyuan, country=China, district=Sichuan, population=182241}
City{name=Nanchong, country=China, district=Sichuan, population=180273}
City{name=Jiangyou, country=China, district=Sichuan, population=175753}
City{name=Fuling, country=China, district=Sichuan, population=173878}
City{name=Wanxian, country=China, district=Sichuan, population=156823}
City{name=Suining, country=China, district=Sichuan, population=146086}
City{name=Xichang, country=China, district=Sichuan, population=134419}
City{name=Dujiangyan, country=China, district=Sichuan, population=123357}
City{name=Ya´an, country=China, district=Sichuan, population=95900}
City{name=Emeishan, country=China, district=Sichuan, population=94000}
City{name=Huaying, country=China, district=Sichuan, population=89400}
