City{name=Tokyo, country=Japan, district=Tokyo-to, population=7980230}
City{name=Hachioji, country=Japan, district=Tokyo-to, population=513451}
City{name=Machida, country=Japan, district=Tokyo-to, population=364197}
City{name=Fuchu, country=Japan, district=Tokyo-to, population=220576}
City{name=Chofu, country=Japan, district=Tokyo-to, population=201585}
City{name=Kodaira, country=Japan, district=Tokyo-to, population=174984}
City{name=Mitaka, country=Japan, district=Tokyo-to, population=167268}
City{name=Hino, country=Japan, district=Tokyo-to, population=166770}
City{name=Tachikawa, country=Japan, district=Tokyo-to, population=159430}
City{name=Hitachinaka, country=Japan, district=Tokyo-to, population=148006}
City{name=Ome, country=Japan, district=Tokyo-to, population=139216}
City{name=Higashimurayama, country=Japan, district=Tokyo-to, population=136970}
City{name=Musashino, country=Japan, district=Tokyo-to, population=134426}
City{name=Higashikurume, country=Japan, district=Tokyo-to, population=111666}
City{name=Koganei, country=Japan, district=Tokyo-to, population=110969}
City{name=Kokubunji, country=Japan, district=Tokyo-to, population=106996}
City{name=Akishima, country=Japan, district=Tokyo-to, population=106914}
City{name=Hoya, country=Japan, district=Tokyo-to, population=100313}
