City{name=Kanpur, country=India, district=Uttar Pradesh, population=1874409}
City{name=Lucknow, country=India, district=Uttar Pradesh, population=1619115}
City{name=Varanasi (Benares), country=India, district=Uttar Pradesh, population=929270}
City{name=Agra, country=India, district=Uttar Pradesh, population=891790}
City{name=Allahabad, country=India, district=Uttar Pradesh, population=792858}
City{name=Meerut, country=India, district=Uttar Pradesh, population=753778}
City{name=Bareilly, country=India, district=Uttar Pradesh, population=587211}
City{name=Gorakhpur, country=India, district=Uttar Pradesh, population=505566}
City{name=Aligarh, country=India, district=Uttar Pradesh, population=480520}
City{name=Ghaziabad, country=India, district=Uttar Pradesh, population=454156}
City{name=Moradabad, country=India, district=Uttar Pradesh, population=429214}
City{name=Saharanpur, country=India, district=Uttar Pradesh, population=374945}
City{name=Jhansi, country=India, district=Uttar Pradesh, population=300850}
City{name=Rampur, country=India, district=Uttar Pradesh, population=243742}
City{name=Muzaffarnagar, country=India, district=Uttar Pradesh, population=240609}
City{name=Shahjahanpur, country=India, district=Uttar Pradesh, population=237713}
City{name=Mathura, country=India, district=Uttar Pradesh, population=226691}
City{name=Firozabad, country=India, district=Uttar Pradesh, population=215128}
City{name=Farrukhabad-cum-Fatehgarh, country=India, district=Uttar Pradesh, population=194567}
City{name=Mirzapur-cum-Vindhyachal, country=India, district=Uttar Pradesh, population=169336}
City{name=Sambhal, country=India, district=Uttar Pradesh, population=150869}
City{name=Noida, country=India, district=Uttar Pradesh, population=146514}
City{name=Hapur, country=India, district=Uttar Pradesh, population=146262}
City{name=Amroha, country=India, district=Uttar Pradesh, population=137061}
City{name=Maunath Bhanjan, country=India, district=Uttar Pradesh, population=136697}
City{name=Jaunpur, country=India, district=Uttar Pradesh, population=136062}
City{name=Bahraich, country=India, district=Uttar Pradesh, population=135400}
City{name=Rae Bareli, country=India, district=Uttar Pradesh, population=129904}
City{name=Bulandshahr, country=India, district=Uttar Pradesh, population=127201}
City{name=Faizabad, country=India, district=Uttar Pradesh, population=124437}
City{name=Etawah, country=India, district=Uttar Pradesh, population=124072}
City{name=Sitapur, country=India, district=Uttar Pradesh, population=121842}
City{name=Fatehpur, country=India, district=Uttar Pradesh, population=117675}
City{name=Budaun, country=India, district=Uttar Pradesh, population=116695}
City{name=Hathras, country=India, district=Uttar Pradesh, population=113285}
City{name=Unnao, country=India, district=Uttar Pradesh, population=107425}
City{name=Pilibhit, country=India, district=Uttar Pradesh, population=106605}
City{name=Gonda, country=India, district=Uttar Pradesh, population=106078}
City{name=Modinagar, country=India, district=Uttar Pradesh, population=101660}
City{name=Orai, country=India, district=Uttar Pradesh, population=98640}
City{name=Banda, country=India, district=Uttar Pradesh, population=97227}
City{name=Meerut Cantonment, country=India, district=Uttar Pradesh, population=94876}
City{name=Kanpur Cantonment, country=India, district=Uttar Pradesh, population=93109}
