City{name=Veracruz, country=Mexico, district=Veracruz, population=457119}
City{name=Xalapa, country=Mexico, district=Veracruz, population=390058}
City{name=Coatzacoalcos, country=Mexico, district=Veracruz, population=267037}
City{name=Córdoba, country=Mexico, district=Veracruz, population=176952}
City{name=Papantla, country=Mexico, district=Veracruz, population=170123}
City{name=Minatitlán, country=Mexico, district=Veracruz, population=152983}
City{name=Poza Rica de Hidalgo, country=Mexico, district=Veracruz, population=152678}
City{name=San Andrés Tuxtla, country=Mexico, district=Veracruz, population=142251}
City{name=Túxpam, country=Mexico, district=Veracruz, population=126475}
City{name=Martínez de la Torre, country=Mexico, district=Veracruz, population=118815}
City{name=Orizaba, country=Mexico, district=Veracruz, population=118488}
City{name=Temapache, country=Mexico, district=Veracruz, population=102824}
City{name=Cosoleacaque, country=Mexico, district=Veracruz, population=97199}
City{name=Tantoyuca, country=Mexico, district=Veracruz, population=94709}
City{name=Pánuco, country=Mexico, district=Veracruz, population=90551}
City{name=Tierra Blanca, country=Mexico, district=Veracruz, population=89143}
