City{name=Bandung, country=Indonesia, district=West Java, population=2429000}
City{name=Tangerang, country=Indonesia, district=West Java, population=1198300}
City{name=Bekasi, country=Indonesia, district=West Java, population=644300}
City{name=Depok, country=Indonesia, district=West Java, population=365200}
City{name=Cimahi, country=Indonesia, district=West Java, population=344600}
City{name=Bogor, country=Indonesia, district=West Java, population=285114}
City{name=Ciputat, country=Indonesia, district=West Java, population=270800}
City{name=Pondokgede, country=Indonesia, district=West Java, population=263200}
City{name=Cirebon, country=Indonesia, district=West Java, population=254406}
City{name=Cimanggis, country=Indonesia, district=West Java, population=205100}
City{name=Ciomas, country=Indonesia, district=West Java, population=187400}
City{name=Tasikmalaya, country=Indonesia, district=West Java, population=179800}
City{name=Karawang, country=Indonesia, district=West Java, population=145000}
City{name=Sukabumi, country=Indonesia, district=West Java, population=125766}
City{name=Serang, country=Indonesia, district=West Java, population=122400}
City{name=Cilegon, country=Indonesia, district=West Java, population=117000}
City{name=Cianjur, country=Indonesia, district=West Java, population=114300}
City{name=Ciparay, country=Indonesia, district=West Java, population=111500}
City{name=Citeureup, country=Indonesia, district=West Java, population=105100}
City{name=Cibinong, country=Indonesia, district=West Java, population=101300}
City{name=Purwakarta, country=Indonesia, district=West Java, population=95900}
City{name=Garut, country=Indonesia, district=West Java, population=95800}
City{name=Majalaya, country=Indonesia, district=West Java, population=93200}
City{name=Pondok Aren, country=Indonesia, district=West Java, population=92700}
City{name=Sawangan, country=Indonesia, district=West Java, population=91100}
