City{name=Hangzhou, country=China, district=Zhejiang, population=2190500}
City{name=Ningbo, country=China, district=Zhejiang, population=1371200}
City{name=Wenzhou, country=China, district=Zhejiang, population=401871}
City{name=Huzhou, country=China, district=Zhejiang, population=218071}
City{name=Jiaxing, country=China, district=Zhejiang, population=211526}
City{name=Shaoxing, country=China, district=Zhejiang, population=179818}
City{name=Xiaoshan, country=China, district=Zhejiang, population=162930}
City{name=Rui´an, country=China, district=Zhejiang, population=156468}
City{name=Zhoushan, country=China, district=Zhejiang, population=156317}
City{name=Jinhua, country=China, district=Zhejiang, population=144280}
City{name=Yuyao, country=China, district=Zhejiang, population=114065}
City{name=Quzhou, country=China, district=Zhejiang, population=112373}
City{name=Cixi, country=China, district=Zhejiang, population=107329}
City{name=Haining, country=China, district=Zhejiang, population=100478}
City{name=Linhai, country=China, district=Zhejiang, population=90870}
City{name=Huangyan, country=China, district=Zhejiang, population=89288}
