City{name=Sydney, country=Australia, district=New South Wales, population=3276207}
City{name=Melbourne, country=Australia, district=Victoria, population=2865329}
City{name=Brisbane, country=Australia, district=Queensland, population=1291117}
City{name=Perth, country=Australia, district=West Australia, population=1096829}
City{name=Adelaide, country=Australia, district=South Australia, population=978100}
City{name=Auckland, country=New Zealand, district=Auckland, population=381800}
City{name=Christchurch, country=New Zealand, district=Canterbury, population=324200}
City{name=Canberra, country=Australia, district=Capital Region, population=322723}
City{name=Gold Coast, country=Australia, district=Queensland, population=311932}
City{name=Manukau, country=New Zealand, district=Auckland, population=281800}
City{name=Newcastle, country=Australia, district=New South Wales, population=270324}
City{name=Central Coast, country=Australia, district=New South Wales, population=227657}
City{name=Wollongong, country=Australia, district=New South Wales, population=219761}
City{name=North Shore, country=New Zealand, district=Auckland, population=187700}
City{name=Waitakere, country=New Zealand, district=Auckland, population=170600}
City{name=Wellington, country=New Zealand, district=Wellington, population=166700}
City{name=Hobart, country=Australia, district=Tasmania, population=126118}
City{name=Geelong, country=Australia, district=Victoria, population=125382}
City{name=Dunedin, country=New Zealand, district=Dunedin, population=119600}
City{name=Hamilton, country=New Zealand, district=Hamilton, population=117100}
City{name=Townsville, country=Australia, district=Queensland, population=109914}
City{name=Lower Hutt, country=New Zealand, district=Wellington, population=98100}
City{name=Cairns, country=Australia, district=Queensland, population=92273}
City{name=Kingston, country=Norfolk Island, district=–, population=800}
City{name=Flying Fish Cove, country=Christmas Island, district=–, population=700}
City{name=Bantam, country=Cocos (Keeling) Islands, district=Home Island, population=503}
City{name=West Island, country=Cocos (Keeling) Islands, district=West Island, population=167}
