City{name=La Habana, country=Cuba, district=La Habana, population=2256000}
City{name=Santo Domingo de Guzmán, country=Dominican Republic, district=Distrito Nacional, population=1609966}
City{name=Port-au-Prince, country=Haiti, district=Ouest, population=884472}
City{name=San Juan, country=Puerto Rico, district=San Juan, population=434374}
City{name=Santiago de Cuba, country=Cuba, district=Santiago de Cuba, population=433180}
City{name=Santiago de los Caballeros, country=Dominican Republic, district=Santiago, population=365463}
City{name=Camagüey, country=Cuba, district=Camagüey, population=298726}
City{name=Carrefour, country=Haiti, district=Ouest, population=290204}
City{name=Holguín, country=Cuba, district=Holguín, population=249492}
City{name=Delmas, country=Haiti, district=Ouest, population=240429}
City{name=Bayamón, country=Puerto Rico, district=Bayamón, population=224044}
City{name=Santa Clara, country=Cuba, district=Villa Clara, population=207350}
City{name=Guantánamo, country=Cuba, district=Guantánamo, population=205078}
City{name=Ponce, country=Puerto Rico, district=Ponce, population=186475}
City{name=Carolina, country=Puerto Rico, district=Carolina, population=186076}
City{name=Nassau, country=Bahamas, district=New Providence, population=172000}
City{name=Pinar del Río, country=Cuba, district=Pinar del Río, population=142100}
City{name=Bayamo, country=Cuba, district=Granma, population=141000}
City{name=Caguas, country=Puerto Rico, district=Caguas, population=140502}
City{name=La Romana, country=Dominican Republic, district=La Romana, population=140204}
City{name=Cienfuegos, country=Cuba, district=Cienfuegos, population=132770}
City{name=Victoria de las Tunas, country=Cuba, district=Las Tunas, population=132350}
City{name=San Pedro de Macorís, country=Dominican Republic, district=San Pedro de Macorís, population=124735}
City{name=Matanzas, country=Cuba, district=Matanzas, population=123273}
City{name=Spanish Town, country=Jamaica, district=St. Catherine, population=110379}
City{name=Manzanillo, country=Cuba, district=Granma, population=109350}
City{name=San Francisco de Macorís, country=Dominican Republic, district=Duarte, population=108485}
City{name=Kingston, country=Jamaica, district=St. Andrew, population=103962}
City{name=Le-Cap-Haïtien, country=Haiti, district=Nord, population=102233}
City{name=Sancti-Spíritus, country=Cuba, district=Sancti-Spíritus, population=100751}
City{name=Arecibo, country=Puerto Rico, district=Arecibo, population=100131}
City{name=Guaynabo, country=Puerto Rico, district=Guaynabo, population=100053}
City{name=Portmore, country=Jamaica, district=St. Andrew, population=99799}
City{name=Ciego de Ávila, country=Cuba, district=Ciego de Ávila, population=98505}
City{name=Mayagüez, country=Puerto Rico, district=Mayagüez, population=98434}
City{name=Toa Baja, country=Puerto Rico, district=Toa Baja, population=94085}
City{name=Fort-de-France, country=Martinique, district=Fort-de-France, population=94050}
City{name=San Felipe de Puerto Plata, country=Dominican Republic, district=Puerto Plata, population=89423}
City{name=Les Abymes, country=Guadeloupe, district=Grande-Terre, population=62947}
City{name=Chaguanas, country=Trinidad and Tobago, district=Caroni, population=56601}
City{name=Port-of-Spain, country=Trinidad and Tobago, district=Port-of-Spain, population=43396}
City{name=Oranjestad, country=Aruba, district=–, population=29034}
City{name=Saint John´s, country=Antigua and Barbuda, district=St John, population=24000}
City{name=George Town, country=Cayman Islands, district=Grand Cayman, population=19600}
City{name=Kingstown, country=Saint Vincent and the Grenadines, district=St George, population=17100}
City{name=Roseau, country=Dominica, district=St George, population=16243}
City{name=Charlotte Amalie, country=Virgin Islands, U.S., district=St Thomas, population=13000}
City{name=Basse-Terre, country=Guadeloupe, district=Basse-Terre, population=12433}
City{name=Basseterre, country=Saint Kitts and Nevis, district=St George Basseterre, population=11600}
City{name=Road Town, country=Virgin Islands, British, district=Tortola, population=8000}
City{name=Bridgetown, country=Barbados, district=St Michael, population=6070}
City{name=Cockburn Town, country=Turks and Caicos Islands, district=Grand Turk, population=4800}
City{name=Saint George´s, country=Grenada, district=St George, population=4621}
City{name=Willemstad, country=Netherlands Antilles, district=Curaçao, population=2345}
City{name=Castries, country=Saint Lucia, district=Castries, population=2301}
City{name=Plymouth, country=Montserrat, district=Plymouth, population=2000}
City{name=South Hill, country=Anguilla, district=–, population=961}
City{name=The Valley, country=Anguilla, district=–, population=595}
