City{name=Addis Abeba, country=Ethiopia, district=Addis Abeba, population=2495000}
City{name=Nairobi, country=Kenya, district=Nairobi, population=2290000}
City{name=Dar es Salaam, country=Tanzania, district=Dar es Salaam, population=1747000}
City{name=Harare, country=Zimbabwe, district=Harare, population=1410000}
City{name=Lusaka, country=Zambia, district=Lusaka, population=1317000}
City{name=Maputo, country=Mozambique, district=Maputo, population=1018938}
City{name=Mogadishu, country=Somalia, district=Banaadir, population=997000}
City{name=Kampala, country=Uganda, district=Central, population=890800}
City{name=Antananarivo, country=Madagascar, district=Antananarivo, population=675669}
City{name=Bulawayo, country=Zimbabwe, district=Bulawayo, population=621742}
City{name=Blantyre, country=Malawi, district=Blantyre, population=478155}
City{name=Mombasa, country=Kenya, district=Coast, population=461753}
City{name=Lilongwe, country=Malawi, district=Lilongwe, population=435964}
City{name=Asmara, country=Eritrea, district=Maekel, population=431000}
City{name=Matola, country=Mozambique, district=Maputo, population=424662}
City{name=Beira, country=Mozambique, district=Sofala, population=397368}
City{name=Djibouti, country=Djibouti, district=Djibouti, population=383000}
City{name=Ndola, country=Zambia, district=Copperbelt, population=329200}
City{name=Nampula, country=Mozambique, district=Nampula, population=303346}
City{name=Bujumbura, country=Burundi, district=Bujumbura, population=300000}
City{name=Kitwe, country=Zambia, district=Copperbelt, population=288600}
City{name=Kigali, country=Rwanda, district=Kigali, population=286000}
City{name=Chitungwiza, country=Zimbabwe, district=Harare, population=274912}
City{name=Kisumu, country=Kenya, district=Nyanza, population=192733}
City{name=Dodoma, country=Tanzania, district=Dodoma, population=189000}
City{name=Mwanza, country=Tanzania, district=Mwanza, population=172300}
City{name=Chimoio, country=Mozambique, district=Manica, population=171056}
City{name=Dire Dawa, country=Ethiopia, district=Dire Dawa, population=164851}
City{name=Mount Darwin, country=Zimbabwe, district=Harare, population=164362}
City{name=Nakuru, country=Kenya, district=Rift Valley, population=163927}
City{name=Naçala-Porto, country=Mozambique, district=Nampula, population=158248}
City{name=Zanzibar, country=Tanzania, district=Zanzibar West, population=157634}
City{name=Kabwe, country=Zambia, district=Central, population=154300}
City{name=Quelimane, country=Mozambique, district=Zambézia, population=150116}
City{name=Chingola, country=Zambia, district=Copperbelt, population=142400}
City{name=Port-Louis, country=Mauritius, district=Port-Louis, population=138200}
City{name=Tanga, country=Tanzania, district=Tanga, population=137400}
City{name=Saint-Denis, country=Réunion, district=Saint-Denis, population=131480}
City{name=Mutare, country=Zimbabwe, district=Manicaland, population=131367}
City{name=Mbeya, country=Tanzania, district=Mbeya, population=130800}
City{name=Gweru, country=Zimbabwe, district=Midlands, population=128037}
City{name=Nazret, country=Ethiopia, district=Oromia, population=127842}
City{name=Toamasina, country=Madagascar, district=Toamasina, population=127441}
City{name=Mocuba, country=Mozambique, district=Zambézia, population=124700}
City{name=Mufulira, country=Zambia, district=Copperbelt, population=123900}
City{name=Antsirabé, country=Madagascar, district=Antananarivo, population=120239}
City{name=Luanshya, country=Zambia, district=Copperbelt, population=118100}
City{name=Morogoro, country=Tanzania, district=Morogoro, population=117800}
City{name=Machakos, country=Kenya, district=Eastern, population=116293}
City{name=Gonder, country=Ethiopia, district=Amhara, population=112249}
City{name=Eldoret, country=Kenya, district=Rift Valley, population=111882}
City{name=Arusha, country=Tanzania, district=Arusha, population=102500}
City{name=Tete, country=Mozambique, district=Tete, population=101984}
City{name=Mahajanga, country=Madagascar, district=Mahajanga, population=100807}
City{name=Beau Bassin-Rose Hill, country=Mauritius, district=Plaines Wilhelms, population=100616}
City{name=Xai-Xai, country=Mozambique, district=Gaza, population=99442}
City{name=Gurue, country=Mozambique, district=Zambézia, population=99300}
City{name=Fianarantsoa, country=Madagascar, district=Fianarantsoa, population=99005}
City{name=Vacoas-Phoenix, country=Mauritius, district=Plaines Wilhelms, population=98464}
City{name=Dese, country=Ethiopia, district=Amhara, population=97314}
City{name=Mekele, country=Ethiopia, district=Tigray, population=96938}
City{name=Moshi, country=Tanzania, district=Kilimanjaro, population=96800}
City{name=Bahir Dar, country=Ethiopia, district=Amhara, population=96140}
City{name=Meru, country=Kenya, district=Eastern, population=94947}
City{name=Maxixe, country=Mozambique, district=Inhambane, population=93985}
City{name=Tabora, country=Tanzania, district=Tabora, population=92800}
City{name=Nyeri, country=Kenya, district=Central, population=91258}
City{name=Hargeysa, country=Somalia, district=Woqooyi Galbeed, population=90000}
City{name=Kismaayo, country=Somalia, district=Jubbada Hoose, population=90000}
City{name=Victoria, country=Seychelles, district=Mahé, population=41000}
City{name=Moroni, country=Comoros, district=Njazidja, population=36000}
City{name=Mamoutzou, country=Mayotte, district=Mamoutzou, population=12000}
