City{name=Seoul, country=South Korea, district=Seoul, population=9981619}
City{name=Shanghai, country=China, district=Shanghai, population=9696300}
City{name=Tokyo, country=Japan, district=Tokyo-to, population=7980230}
City{name=Peking, country=China, district=Peking, population=7472000}
City{name=Chongqing, country=China, district=Chongqing, population=6351600}
City{name=Tianjin, country=China, district=Tianjin, population=5286800}
City{name=Wuhan, country=China, district=Hubei, population=4344600}
City{name=Harbin, country=China, district=Heilongjiang, population=4289800}
City{name=Shenyang, country=China, district=Liaoning, population=4265200}
City{name=Kanton [Guangzhou], country=China, district=Guangdong, population=4256300}
City{name=Pusan, country=South Korea, district=Pusan, population=3804522}
City{name=Chengdu, country=China, district=Sichuan, population=3361500}
City{name=Jokohama [Yokohama], country=Japan, district=Kanagawa, population=3339594}
City{name=Nanking [Nanjing], country=China, district=Jiangsu, population=2870300}
City{name=Changchun, country=China, district=Jilin, population=2812000}
City{name=Xi´an, country=China, district=Shaanxi, population=2761400}
City{name=Dalian, country=China, district=Liaoning, population=2697000}
City{name=Taipei, country=Taiwan, district=Taipei, population=2641312}
City{name=Qingdao, country=China, district=Shandong, population=2596000}
City{name=Osaka, country=Japan, district=Osaka, population=2595674}
City{name=Inchon, country=South Korea, district=Inchon, population=2559424}
City{name=Taegu, country=South Korea, district=Taegu, population=2548568}
City{name=Pyongyang, country=North Korea, district=Pyongyang-si, population=2484000}
City{name=Jinan, country=China, district=Shandong, population=2278100}
City{name=Hangzhou, country=China, district=Zhejiang, population=2190500}
City{name=Nagoya, country=Japan, district=Aichi, population=2154376}
City{name=Zhengzhou, country=China, district=Henan, population=2107200}
City{name=Shijiazhuang, country=China, district=Hebei, population=2041500}
City{name=Kowloon and New Kowloon, country=Hong Kong, district=Kowloon and New Kowl, population=1987996}
City{name=Taiyuan, country=China, district=Shanxi, population=1968400}
City{name=Kunming, country=China, district=Yunnan, population=1829500}
City{name=Changsha, country=China, district=Hunan, population=1809800}
City{name=Sapporo, country=Japan, district=Hokkaido, population=1790886}
City{name=Nanchang, country=China, district=Jiangxi, population=1691600}
City{name=Fuzhou, country=China, district=Fujian, population=1593800}
City{name=Lanzhou, country=China, district=Gansu, population=1565800}
City{name=Kaohsiung, country=Taiwan, district=Kaohsiung, population=1475505}
City{name=Guiyang, country=China, district=Guizhou, population=1465200}
City{name=Kioto, country=Japan, district=Kyoto, population=1461974}
City{name=Taejon, country=South Korea, district=Taejon, population=1425835}
City{name=Kobe, country=Japan, district=Hyogo, population=1425139}
City{name=Ningbo, country=China, district=Zhejiang, population=1371200}
City{name=Hefei, country=China, district=Anhui, population=1369100}
City{name=Kwangju, country=South Korea, district=Kwangju, population=1368341}
City{name=Victoria, country=Hong Kong, district=Hongkong, population=1312637}
City{name=Urumtši [Ürümqi], country=China, district=Xinxiang, population=1310100}
City{name=Fukuoka, country=Japan, district=Fukuoka, population=1308379}
City{name=Kawasaki, country=Japan, district=Kanagawa, population=1217359}
City{name=Anshan, country=China, district=Liaoning, population=1200000}
City{name=Fushun, country=China, district=Liaoning, population=1200000}
City{name=Nanning, country=China, district=Guangxi, population=1161800}
City{name=Zibo, country=China, district=Shandong, population=1140000}
City{name=Hiroshima, country=Japan, district=Hiroshima, population=1119117}
City{name=Ulsan, country=South Korea, district=Kyongsangnam, population=1084891}
City{name=Qiqihar, country=China, district=Heilongjiang, population=1070000}
City{name=Jilin, country=China, district=Jilin, population=1040000}
City{name=Tangshan, country=China, district=Hebei, population=1040000}
City{name=Kitakyushu, country=Japan, district=Fukuoka, population=1016264}
City{name=Sendai, country=Japan, district=Miyagi, population=989975}
City{name=Baotou, country=China, district=Inner Mongolia, population=980000}
City{name=Shenzhen, country=China, district=Guangdong, population=950500}
City{name=Taichung, country=Taiwan, district=Taichung, population=940589}
City{name=Hohhot, country=China, district=Inner Mongolia, population=916700}
City{name=Songnam, country=South Korea, district=Kyonggi, population=869094}
City{name=Chiba, country=Japan, district=Chiba, population=863930}
City{name=Handan, country=China, district=Hebei, population=840000}
City{name=Wuxi, country=China, district=Jiangsu, population=830000}
City{name=Xuzhou, country=China, district=Jiangsu, population=810000}
City{name=Datong, country=China, district=Shanxi, population=800000}
City{name=Yichun, country=China, district=Heilongjiang, population=800000}
City{name=Sakai, country=Japan, district=Osaka, population=797735}
City{name=Puchon, country=South Korea, district=Kyonggi, population=779412}
City{name=Ulan Bator, country=Mongolia, district=Ulaanbaatar, population=773700}
City{name=Benxi, country=China, district=Liaoning, population=770000}
City{name=Luoyang, country=China, district=Henan, population=760000}
City{name=Suwon, country=South Korea, district=Kyonggi, population=755550}
City{name=Tainan, country=Taiwan, district=Tainan, population=728060}
City{name=Suzhou, country=China, district=Jiangsu, population=710000}
City{name=Hamhung, country=North Korea, district=Hamgyong N, population=709730}
City{name=Xining, country=China, district=Qinghai, population=700200}
City{name=Huainan, country=China, district=Anhui, population=700000}
City{name=Jixi, country=China, district=Heilongjiang, population=683885}
City{name=Daqing, country=China, district=Heilongjiang, population=660000}
City{name=Kumamoto, country=Japan, district=Kumamoto, population=656734}
City{name=Fuxin, country=China, district=Liaoning, population=640000}
City{name=Amoy [Xiamen], country=China, district=Fujian, population=627500}
City{name=Okayama, country=Japan, district=Okayama, population=624269}
City{name=Liuzhou, country=China, district=Guangxi, population=610000}
City{name=Anyang, country=South Korea, district=Kyonggi, population=591106}
City{name=Sagamihara, country=Japan, district=Kanagawa, population=586300}
City{name=Chongjin, country=North Korea, district=Hamgyong P, population=582480}
City{name=Shantou, country=China, district=Guangdong, population=580000}
City{name=Jinzhou, country=China, district=Liaoning, population=570000}
City{name=Mudanjiang, country=China, district=Heilongjiang, population=570000}
City{name=Hamamatsu, country=Japan, district=Shizuoka, population=568796}
City{name=Nampo, country=North Korea, district=Nampo-si, population=566200}
City{name=Chonju, country=South Korea, district=Chollabuk, population=563153}
City{name=Kagoshima, country=Japan, district=Kagoshima, population=549977}
City{name=Funabashi, country=Japan, district=Chiba, population=545299}
City{name=Yinchuan, country=China, district=Ningxia, population=544500}
City{name=Chongju, country=South Korea, district=Chungchongbuk, population=531376}
City{name=Changzhou, country=China, district=Jiangsu, population=530000}
City{name=Zhangjiakou, country=China, district=Hebei, population=530000}
City{name=Panchiao, country=Taiwan, district=Taipei, population=523850}
City{name=Dandong, country=China, district=Liaoning, population=520000}
City{name=Hegang, country=China, district=Heilongjiang, population=520000}
City{name=Koyang, country=South Korea, district=Kyonggi, population=518282}
City{name=Higashiosaka, country=Japan, district=Osaka, population=517785}
City{name=Hachioji, country=Japan, district=Tokyo-to, population=513451}
City{name=Ansan, country=South Korea, district=Kyonggi, population=510314}
City{name=Kaifeng, country=China, district=Henan, population=510000}
