City{name=Moscow, country=Russian Federation, district=Moscow (City), population=8389200}
City{name=St Petersburg, country=Russian Federation, district=Pietari, population=4694000}
City{name=Kyiv, country=Ukraine, district=Kiova, population=2624000}
City{name=Bucuresti, country=Romania, district=Bukarest, population=2016131}
City{name=Budapest, country=Hungary, district=Budapest, population=1811552}
City{name=Minsk, country=Belarus, district=Horad Minsk, population=1674000}
City{name=Warszawa, country=Poland, district=Mazowieckie, population=1615369}
City{name=Harkova [Harkiv], country=Ukraine, district=Harkova, population=1500000}
City{name=Novosibirsk, country=Russian Federation, district=Novosibirsk, population=1398800}
City{name=Nizni Novgorod, country=Russian Federation, district=Nizni Novgorod, population=1357000}
City{name=Jekaterinburg, country=Russian Federation, district=Sverdlovsk, population=1266300}
City{name=Praha, country=Czech Republic, district=Hlavní mesto Praha, population=1181126}
City{name=Samara, country=Russian Federation, district=Samara, population=1156100}
City{name=Omsk, country=Russian Federation, district=Omsk, population=1148900}
City{name=Sofija, country=Bulgaria, district=Grad Sofija, population=1122302}
City{name=Dnipropetrovsk, country=Ukraine, district=Dnipropetrovsk, population=1103000}
City{name=Kazan, country=Russian Federation, district=Tatarstan, population=1101000}
City{name=Ufa, country=Russian Federation, district=Baškortostan, population=1091200}
City{name=Tšeljabinsk, country=Russian Federation, district=Tšeljabinsk, population=1083200}
City{name=Donetsk, country=Ukraine, district=Donetsk, population=1050000}
City{name=Rostov-na-Donu, country=Russian Federation, district=Rostov-na-Donu, population=1012700}
City{name=Odesa, country=Ukraine, district=Odesa, population=1011000}
City{name=Perm, country=Russian Federation, district=Perm, population=1009700}
City{name=Volgograd, country=Russian Federation, district=Volgograd, population=993400}
City{name=Voronez, country=Russian Federation, district=Voronez, population=907700}
City{name=Krasnojarsk, country=Russian Federation, district=Krasnojarsk, population=875500}
City{name=Saratov, country=Russian Federation, district=Saratov, population=874000}
City{name=Zaporizzja, country=Ukraine, district=Zaporizzja, population=848000}
City{name=Lódz, country=Poland, district=Lodzkie, population=800110}
City{name=Lviv, country=Ukraine, district=Lviv, population=788000}
City{name=Kraków, country=Poland, district=Malopolskie, population=738150}
City{name=Toljatti, country=Russian Federation, district=Samara, population=722900}
City{name=Chisinau, country=Moldova, district=Chisinau, population=719900}
City{name=Kryvyi Rig, country=Ukraine, district=Dnipropetrovsk, population=703000}
City{name=Uljanovsk, country=Russian Federation, district=Uljanovsk, population=667400}
City{name=Izevsk, country=Russian Federation, district=Udmurtia, population=652800}
City{name=Krasnodar, country=Russian Federation, district=Krasnodar, population=639000}
City{name=Wroclaw, country=Poland, district=Dolnoslaskie, population=636765}
City{name=Jaroslavl, country=Russian Federation, district=Jaroslavl, population=616700}
City{name=Habarovsk, country=Russian Federation, district=Habarovsk, population=609400}
City{name=Vladivostok, country=Russian Federation, district=Primorje, population=606200}
City{name=Irkutsk, country=Russian Federation, district=Irkutsk, population=593700}
City{name=Barnaul, country=Russian Federation, district=Altai, population=580100}
City{name=Poznan, country=Poland, district=Wielkopolskie, population=576899}
City{name=Novokuznetsk, country=Russian Federation, district=Kemerovo, population=561600}
City{name=Penza, country=Russian Federation, district=Penza, population=532200}
City{name=Rjazan, country=Russian Federation, district=Rjazan, population=529900}
City{name=Orenburg, country=Russian Federation, district=Orenburg, population=523600}
City{name=Lipetsk, country=Russian Federation, district=Lipetsk, population=521000}
City{name=Nabereznyje Tšelny, country=Russian Federation, district=Tatarstan, population=514700}
City{name=Mykolajiv, country=Ukraine, district=Mykolajiv, population=508000}
City{name=Tula, country=Russian Federation, district=Tula, population=506100}
City{name=Tjumen, country=Russian Federation, district=Tjumen, population=503400}
City{name=Kemerovo, country=Russian Federation, district=Kemerovo, population=492700}
City{name=Mariupol, country=Ukraine, district=Donetsk, population=490000}
City{name=Astrahan, country=Russian Federation, district=Astrahan, population=486100}
City{name=Tomsk, country=Russian Federation, district=Tomsk, population=482100}
City{name=Gomel, country=Belarus, district=Gomel, population=475000}
City{name=Lugansk, country=Ukraine, district=Lugansk, population=469000}
