City{name=Istanbul, country=Turkey, district=Istanbul, population=8787958}
City{name=Baghdad, country=Iraq, district=Baghdad, population=4336000}
City{name=Riyadh, country=Saudi Arabia, district=Riyadh, population=3324000}
City{name=Ankara, country=Turkey, district=Ankara, population=3038159}
City{name=Izmir, country=Turkey, district=Izmir, population=2130359}
City{name=Jedda, country=Saudi Arabia, district=Mekka, population=2046300}
City{name=Baku, country=Azerbaijan, district=Baki, population=1787800}
City{name=Damascus, country=Syria, district=Damascus, population=1347000}
City{name=Aleppo, country=Syria, district=Aleppo, population=1261983}
City{name=Yerevan, country=Armenia, district=Yerevan, population=1248700}
City{name=Tbilisi, country=Georgia, district=Tbilisi, population=1235200}
City{name=Adana, country=Turkey, district=Adana, population=1131198}
City{name=Beirut, country=Lebanon, district=Beirut, population=1100000}
City{name=Bursa, country=Turkey, district=Bursa, population=1095842}
City{name=Amman, country=Jordan, district=Amman, population=1000000}
City{name=Mekka, country=Saudi Arabia, district=Mekka, population=965700}
City{name=Mosul, country=Iraq, district=Ninawa, population=879000}
City{name=Gaziantep, country=Turkey, district=Gaziantep, population=789056}
City{name=Dubai, country=United Arab Emirates, district=Dubai, population=669181}
City{name=Jerusalem, country=Israel, district=Jerusalem, population=633700}
City{name=Konya, country=Turkey, district=Konya, population=628364}
City{name=Medina, country=Saudi Arabia, district=Medina, population=608300}
City{name=Mersin (Içel), country=Turkey, district=Içel, population=587212}
City{name=Antalya, country=Turkey, district=Antalya, population=564914}
City{name=Hims, country=Syria, district=Hims, population=507404}
City{name=Sanaa, country=Yemen, district=Sanaa, population=503600}
City{name=Irbil, country=Iraq, district=Irbil, population=485968}
City{name=al-Dammam, country=Saudi Arabia, district=al-Sharqiya, population=482300}
City{name=Diyarbakir, country=Turkey, district=Diyarbakir, population=479884}
City{name=Kayseri, country=Turkey, district=Kayseri, population=475657}
City{name=Eskisehir, country=Turkey, district=Eskisehir, population=470781}
City{name=Kirkuk, country=Iraq, district=al-Tamim, population=418624}
City{name=al-Taif, country=Saudi Arabia, district=Mekka, population=416100}
City{name=Basra, country=Iraq, district=Basra, population=406296}
City{name=Sanliurfa, country=Turkey, district=Sanliurfa, population=405905}
City{name=Abu Dhabi, country=United Arab Emirates, district=Abu Dhabi, population=398695}
City{name=Aden, country=Yemen, district=Aden, population=398300}
City{name=al-Zarqa, country=Jordan, district=al-Zarqa, population=389815}
City{name=al-Sulaymaniya, country=Iraq, district=al-Sulaymaniya, population=364096}
City{name=Doha, country=Qatar, district=Doha, population=355000}
City{name=Gaza, country=Palestine, district=Gaza, population=353632}
City{name=Tel Aviv-Jaffa, country=Israel, district=Tel Aviv, population=348100}
City{name=Hama, country=Syria, district=Hama, population=343361}
City{name=Samsun, country=Turkey, district=Samsun, population=339871}
City{name=Malatya, country=Turkey, district=Malatya, population=330312}
City{name=Sharja, country=United Arab Emirates, district=Sharja, population=320095}
City{name=Taizz, country=Yemen, district=Taizz, population=317600}
