City{name=Stockholm, country=Sweden, district=Lisboa, population=750348}
City{name=Helsinki [Helsingfors], country=Finland, district=Newmaa, population=555474}
City{name=Oslo, country=Norway, district=Oslo, population=508726}
City{name=København, country=Denmark, district=København, population=495699}
City{name=Gothenburg [Göteborg], country=Sweden, district=West Götanmaan län, population=466990}
City{name=Århus, country=Denmark, district=Århus, population=284846}
City{name=Malmö, country=Sweden, district=Skåne län, population=259579}
City{name=Bergen, country=Norway, district=Hordaland, population=230948}
City{name=Espoo, country=Finland, district=Newmaa, population=213271}
City{name=Tampere, country=Finland, district=Pirkanmaa, population=195468}
City{name=Uppsala, country=Sweden, district=Uppsala län, population=189569}
City{name=Odense, country=Denmark, district=Fyn, population=183912}
City{name=Vantaa, country=Finland, district=Newmaa, population=178471}
City{name=Turku [Åbo], country=Finland, district=Varsinais-Suomi, population=172561}
City{name=Aalborg, country=Denmark, district=Nordjylland, population=161161}
City{name=Trondheim, country=Norway, district=Sør-Trøndelag, population=150166}
City{name=Linköping, country=Sweden, district=East Götanmaan län, population=133168}
City{name=Västerås, country=Sweden, district=Västmanlands län, population=126328}
City{name=Örebro, country=Sweden, district=Örebros län, population=124207}
City{name=Norrköping, country=Sweden, district=East Götanmaan län, population=122199}
City{name=Oulu, country=Finland, district=Pohjois-Pohjanmaa, population=120753}
City{name=Helsingborg, country=Sweden, district=Skåne län, population=117737}
City{name=Jönköping, country=Sweden, district=Jönköpings län, population=117095}
City{name=Reykjavík, country=Iceland, district=Höfuðborgarsvæði, population=109184}
City{name=Stavanger, country=Norway, district=Rogaland, population=108848}
City{name=Umeå, country=Sweden, district=Västerbottens län, population=104512}
City{name=Bærum, country=Norway, district=Akershus, population=101340}
City{name=Lund, country=Sweden, district=Skåne län, population=98948}
City{name=Lahti, country=Finland, district=Päijät-Häme, population=96921}
City{name=Borås, country=Sweden, district=West Götanmaan län, population=96883}
City{name=Sundsvall, country=Sweden, district=Västernorrlands län, population=93126}
City{name=Gävle, country=Sweden, district=Gävleborgs län, population=90742}
City{name=Frederiksberg, country=Denmark, district=Frederiksberg, population=90327}
City{name=Tórshavn, country=Faroe Islands, district=Streymoyar, population=14542}
City{name=Longyearbyen, country=Svalbard and Jan Mayen, district=Länsimaa, population=1438}
