City{name=Cairo, country=Egypt, district=Kairo, population=6789479}
City{name=Alexandria, country=Egypt, district=Aleksandria, population=3328196}
City{name=Casablanca, country=Morocco, district=Casablanca, population=2940623}
City{name=Giza, country=Egypt, district=Giza, population=2221868}
City{name=Alger, country=Algeria, district=Alger, population=2168000}
City{name=Tripoli, country=Libyan Arab Jamahiriya, district=Tripoli, population=1682000}
City{name=Omdurman, country=Sudan, district=Khartum, population=1271403}
City{name=Khartum, country=Sudan, district=Khartum, population=947483}
City{name=Shubra al-Khayma, country=Egypt, district=al-Qalyubiya, population=870716}
City{name=Bengasi, country=Libyan Arab Jamahiriya, district=Bengasi, population=804000}
City{name=Sharq al-Nil, country=Sudan, district=Khartum, population=700887}
City{name=Tunis, country=Tunisia, district=Tunis, population=690600}
City{name=Rabat, country=Morocco, district=Rabat-Salé-Zammour-Z, population=623457}
City{name=Marrakech, country=Morocco, district=Marrakech-Tensift-Al, population=621914}
City{name=Oran, country=Algeria, district=Oran, population=609823}
City{name=Fès, country=Morocco, district=Fès-Boulemane, population=541162}
City{name=Tanger, country=Morocco, district=Tanger-Tétouan, population=521735}
City{name=Salé, country=Morocco, district=Rabat-Salé-Zammour-Z, population=504420}
City{name=Port Said, country=Egypt, district=Port Said, population=469533}
City{name=Meknès, country=Morocco, district=Meknès-Tafilalet, population=460000}
City{name=Constantine, country=Algeria, district=Constantine, population=443727}
City{name=Suez, country=Egypt, district=Suez, population=417610}
City{name=al-Mahallat al-Kubra, country=Egypt, district=al-Gharbiya, population=395402}
City{name=Tanta, country=Egypt, district=al-Gharbiya, population=371010}
City{name=al-Mansura, country=Egypt, district=al-Daqahliya, population=369621}
City{name=Oujda, country=Morocco, district=Oriental, population=365382}
City{name=Luxor, country=Egypt, district=Luxor, population=360503}
City{name=Asyut, country=Egypt, district=Asyut, population=343498}
City{name=Port Sudan, country=Sudan, district=al-Bahr al-Ahmar, population=308195}
City{name=Kénitra, country=Morocco, district=Gharb-Chrarda-Béni H, population=292600}
City{name=Tétouan, country=Morocco, district=Tanger-Tétouan, population=277516}
City{name=Bahtim, country=Egypt, district=al-Qalyubiya, population=275807}
City{name=Zagazig, country=Egypt, district=al-Sharqiya, population=267351}
City{name=Safi, country=Morocco, district=Doukkala-Abda, population=262300}
City{name=al-Faiyum, country=Egypt, district=al-Faiyum, population=260964}
City{name=Sfax, country=Tunisia, district=Sfax, population=257800}
City{name=Ismailia, country=Egypt, district=Ismailia, population=254477}
City{name=Kassala, country=Sudan, district=Kassala, population=234622}
City{name=Kafr al-Dawwar, country=Egypt, district=al-Buhayra, population=231978}
City{name=Obeid, country=Sudan, district=Kurdufan al-Shamaliy, population=229425}
City{name=Nyala, country=Sudan, district=Darfur al-Janubiya, population=227183}
City{name=Annaba, country=Algeria, district=Annaba, population=222518}
City{name=Assuan, country=Egypt, district=Assuan, population=219017}
City{name=Damanhur, country=Egypt, district=al-Buhayra, population=212203}
City{name=Wad Madani, country=Sudan, district=al-Jazira, population=211362}
City{name=al-Minya, country=Egypt, district=al-Minya, population=201360}
City{name=Ariana, country=Tunisia, district=Ariana, population=197000}
City{name=al-Qadarif, country=Sudan, district=al-Qadarif, population=191164}
City{name=Batna, country=Algeria, district=Batna, population=183377}
City{name=Sétif, country=Algeria, district=Sétif, population=179055}
City{name=Ettadhamen, country=Tunisia, district=Ariana, population=178600}
City{name=Kusti, country=Sudan, district=al-Bahr al-Abyad, population=173599}
