City{name=Jakarta, country=Indonesia, district=Jakarta Raya, population=9604900}
City{name=Bangkok, country=Thailand, district=Bangkok, population=6320174}
City{name=Singapore, country=Singapore, district=–, population=4017733}
City{name=Ho Chi Minh City, country=Vietnam, district=Ho Chi Minh City, population=3980000}
City{name=Rangoon (Yangon), country=Myanmar, district=Rangoon [Yangon], population=3361700}
City{name=Surabaya, country=Indonesia, district=East Java, population=2663820}
City{name=Bandung, country=Indonesia, district=West Java, population=2429000}
City{name=Quezon, country=Philippines, district=National Capital Reg, population=2173831}
City{name=Medan, country=Indonesia, district=Sumatera Utara, population=1843919}
City{name=Manila, country=Philippines, district=National Capital Reg, population=1581082}
City{name=Hanoi, country=Vietnam, district=Hanoi, population=1410000}
City{name=Kuala Lumpur, country=Malaysia, district=Wilayah Persekutuan, population=1297526}
City{name=Palembang, country=Indonesia, district=Sumatera Selatan, population=1222764}
City{name=Tangerang, country=Indonesia, district=West Java, population=1198300}
City{name=Kalookan, country=Philippines, district=National Capital Reg, population=1177604}
City{name=Davao, country=Philippines, district=Southern Mindanao, population=1147116}
City{name=Semarang, country=Indonesia, district=Central Java, population=1104405}
City{name=Ujung Pandang, country=Indonesia, district=Sulawesi Selatan, population=1060257}
City{name=Mandalay, country=Myanmar, district=Mandalay, population=885300}
City{name=Haiphong, country=Vietnam, district=Haiphong, population=783133}
City{name=Cebu, country=Philippines, district=Central Visayas, population=718821}
City{name=Malang, country=Indonesia, district=East Java, population=716862}
City{name=Bandar Lampung, country=Indonesia, district=Lampung, population=680332}
City{name=Bekasi, country=Indonesia, district=West Java, population=644300}
City{name=Zamboanga, country=Philippines, district=Western Mindanao, population=601794}
City{name=Phnom Penh, country=Cambodia, district=Phnom Penh, population=570155}
City{name=Padang, country=Indonesia, district=Sumatera Barat, population=534474}
City{name=Vientiane, country=Laos, district=Viangchan, population=531800}
City{name=Surakarta, country=Indonesia, district=Central Java, population=518600}
City{name=Pasig, country=Philippines, district=National Capital Reg, population=505058}
City{name=Valenzuela, country=Philippines, district=National Capital Reg, population=485433}
City{name=Banjarmasin, country=Indonesia, district=Kalimantan Selatan, population=482931}
City{name=Las Piñas, country=Philippines, district=National Capital Reg, population=472780}
City{name=Antipolo, country=Philippines, district=Southern Tagalog, population=470866}
City{name=Taguig, country=Philippines, district=National Capital Reg, population=467375}
City{name=Cagayan de Oro, country=Philippines, district=Northern Mindanao, population=461877}
City{name=Parañaque, country=Philippines, district=National Capital Reg, population=449811}
City{name=Makati, country=Philippines, district=National Capital Reg, population=444867}
City{name=Pekan Baru, country=Indonesia, district=Riau, population=438638}
City{name=Denpasar, country=Indonesia, district=Bali, population=435000}
City{name=Bacolod, country=Philippines, district=Western Visayas, population=429076}
City{name=Yogyakarta, country=Indonesia, district=Yogyakarta, population=418944}
