City{name=Mumbai (Bombay), country=India, district=Maharashtra, population=10500000}
City{name=Karachi, country=Pakistan, district=Sindh, population=9269265}
City{name=Delhi, country=India, district=Delhi, population=7206704}
City{name=Teheran, country=Iran, district=Teheran, population=6758845}
City{name=Lahore, country=Pakistan, district=Punjab, population=5063499}
City{name=Calcutta [Kolkata], country=India, district=West Bengali, population=4399819}
City{name=Chennai (Madras), country=India, district=Tamil Nadu, population=3841396}
City{name=Dhaka, country=Bangladesh, district=Dhaka, population=3612850}
City{name=Hyderabad, country=India, district=Andhra Pradesh, population=2964638}
City{name=Ahmedabad, country=India, district=Gujarat, population=2876710}
City{name=Bangalore, country=India, district=Karnataka, population=2660088}
City{name=Toskent, country=Uzbekistan, district=Toskent Shahri, population=2117500}
City{name=Faisalabad, country=Pakistan, district=Punjab, population=1977246}
City{name=Mashhad, country=Iran, district=Khorasan, population=1887405}
City{name=Kanpur, country=India, district=Uttar Pradesh, population=1874409}
City{name=Kabul, country=Afghanistan, district=Kabol, population=1780000}
City{name=Nagpur, country=India, district=Maharashtra, population=1624752}
City{name=Lucknow, country=India, district=Uttar Pradesh, population=1619115}
City{name=Pune, country=India, district=Maharashtra, population=1566651}
City{name=Surat, country=India, district=Gujarat, population=1498817}
City{name=Jaipur, country=India, district=Rajasthan, population=1458483}
City{name=Rawalpindi, country=Pakistan, district=Punjab, population=1406214}
City{name=Chittagong, country=Bangladesh, district=Chittagong, population=1392860}
City{name=Esfahan, country=Iran, district=Esfahan, population=1266072}
City{name=Tabriz, country=Iran, district=East Azerbaidzan, population=1191043}
City{name=Multan, country=Pakistan, district=Punjab, population=1182441}
City{name=Hyderabad, country=Pakistan, district=Sindh, population=1151274}
City{name=Almaty, country=Kazakstan, district=Almaty Qalasy, population=1129400}
City{name=Gujranwala, country=Pakistan, district=Punjab, population=1124749}
City{name=Indore, country=India, district=Madhya Pradesh, population=1091674}
City{name=Bhopal, country=India, district=Madhya Pradesh, population=1062771}
City{name=Shiraz, country=Iran, district=Fars, population=1053025}
City{name=Ludhiana, country=India, district=Punjab, population=1042740}
City{name=Vadodara (Baroda), country=India, district=Gujarat, population=1031346}
City{name=Kalyan, country=India, district=Maharashtra, population=1014557}
City{name=Peshawar, country=Pakistan, district=Nothwest Border Prov, population=988005}
City{name=Madurai, country=India, district=Tamil Nadu, population=977856}
City{name=Haora (Howrah), country=India, district=West Bengali, population=950435}
City{name=Karaj, country=Iran, district=Teheran, population=940968}
City{name=Varanasi (Benares), country=India, district=Uttar Pradesh, population=929270}
City{name=Patna, country=India, district=Bihar, population=917243}
City{name=Srinagar, country=India, district=Jammu and Kashmir, population=892506}
City{name=Agra, country=India, district=Uttar Pradesh, population=891790}
City{name=Coimbatore, country=India, district=Tamil Nadu, population=816321}
City{name=Ahvaz, country=Iran, district=Khuzestan, population=804980}
City{name=Thane (Thana), country=India, district=Maharashtra, population=803389}
City{name=Allahabad, country=India, district=Uttar Pradesh, population=792858}
City{name=Qom, country=Iran, district=Qom, population=777677}
City{name=Meerut, country=India, district=Uttar Pradesh, population=753778}
City{name=Vishakhapatnam, country=India, district=Andhra Pradesh, population=752037}
City{name=Jabalpur, country=India, district=Madhya Pradesh, population=741927}
City{name=Amritsar, country=India, district=Punjab, population=708835}
City{name=Faridabad, country=India, district=Haryana, population=703592}
City{name=Vijayawada, country=India, district=Andhra Pradesh, population=701827}
City{name=Kermanshah, country=Iran, district=Kermanshah, population=692986}
City{name=Gwalior, country=India, district=Madhya Pradesh, population=690765}
City{name=Jodhpur, country=India, district=Rajasthan, population=666279}
City{name=Khulna, country=Bangladesh, district=Khulna, population=663340}
City{name=Nashik (Nasik), country=India, district=Maharashtra, population=656925}
City{name=Hubli-Dharwad, country=India, district=Karnataka, population=648298}
City{name=Colombo, country=Sri Lanka, district=Western, population=645000}
City{name=Solapur (Sholapur), country=India, district=Maharashtra, population=604215}
City{name=Ranchi, country=India, district=Jharkhand, population=599306}
City{name=Kathmandu, country=Nepal, district=Central, population=591835}
City{name=Bishkek, country=Kyrgyzstan, district=Bishkek shaary, population=589400}
City{name=Bareilly, country=India, district=Uttar Pradesh, population=587211}
City{name=Guwahati (Gauhati), country=India, district=Assam, population=584342}
City{name=Shambajinagar (Aurangabad), country=India, district=Maharashtra, population=573272}
City{name=Cochin (Kochi), country=India, district=Kerala, population=564589}
City{name=Quetta, country=Pakistan, district=Baluchistan, population=560307}
City{name=Rajkot, country=India, district=Gujarat, population=559407}
City{name=Ashgabat, country=Turkmenistan, district=Ahal, population=540600}
City{name=Kota, country=India, district=Rajasthan, population=537371}
City{name=Islamabad, country=Pakistan, district=Islamabad, population=524500}
City{name=Thiruvananthapuram (Trivandrum, country=India, district=Kerala, population=524006}
City{name=Dushanbe, country=Tajikistan, district=Karotegin, population=524000}
City{name=Pimpri-Chinchwad, country=India, district=Maharashtra, population=517083}
City{name=Jalandhar (Jullundur), country=India, district=Punjab, population=509510}
City{name=Gorakhpur, country=India, district=Uttar Pradesh, population=505566}
City{name=Chandigarh, country=India, district=Chandigarh, population=504094}
City{name=Mysore, country=India, district=Karnataka, population=480692}
City{name=Aligarh, country=India, district=Uttar Pradesh, population=480520}
City{name=Guntur, country=India, district=Andhra Pradesh, population=471051}
City{name=Jamshedpur, country=India, district=Jharkhand, population=460577}
City{name=Sargodha, country=Pakistan, district=Punjab, population=455360}
City{name=Ghaziabad, country=India, district=Uttar Pradesh, population=454156}
City{name=Warangal, country=India, district=Andhra Pradesh, population=447657}
City{name=Raipur, country=India, district=Chhatisgarh, population=438639}
City{name=Qaraghandy, country=Kazakstan, district=Qaraghandy, population=436900}
City{name=Urmia, country=Iran, district=West Azerbaidzan, population=435200}
City{name=Moradabad, country=India, district=Uttar Pradesh, population=429214}
City{name=Durgapur, country=India, district=West Bengali, population=425836}
City{name=Amravati, country=India, district=Maharashtra, population=421576}
City{name=Calicut (Kozhikode), country=India, district=Kerala, population=419831}
City{name=Zahedan, country=Iran, district=Sistan va Baluchesta, population=419518}
City{name=Rasht, country=Iran, district=Gilan, population=417748}
City{name=Sialkot, country=Pakistan, district=Punjab, population=417597}
City{name=Bikaner, country=India, district=Rajasthan, population=416289}
City{name=Bhubaneswar, country=India, district=Orissa, population=411542}
City{name=Kolhapur, country=India, district=Maharashtra, population=406370}
City{name=Kataka (Cuttack), country=India, district=Orissa, population=403418}
City{name=Bahawalpur, country=Pakistan, district=Punjab, population=403408}
City{name=Ajmer, country=India, district=Rajasthan, population=402700}
City{name=Bhavnagar, country=India, district=Gujarat, population=402338}
City{name=Hamadan, country=Iran, district=Hamadan, population=401281}
City{name=Tiruchirapalli, country=India, district=Tamil Nadu, population=387223}
City{name=Bhilai, country=India, district=Chhatisgarh, population=386159}
City{name=Kerman, country=Iran, district=Kerman, population=384991}
City{name=Arak, country=Iran, district=Markazi, population=380755}
City{name=Bhiwandi, country=India, district=Maharashtra, population=379070}
City{name=Saharanpur, country=India, district=Uttar Pradesh, population=374945}
City{name=Namangan, country=Uzbekistan, district=Namangan, population=370500}
City{name=Ulhasnagar, country=India, district=Maharashtra, population=369077}
City{name=Salem, country=India, district=Tamil Nadu, population=366712}
City{name=Ujjain, country=India, district=Madhya Pradesh, population=362266}
City{name=Samarkand, country=Uzbekistan, district=Samarkand, population=361800}
City{name=Shymkent, country=Kazakstan, district=South Kazakstan, population=360100}
City{name=Malegaon, country=India, district=Maharashtra, population=342595}
