City{name=Berlin, country=Germany, district=Berliini, population=3386667}
City{name=Paris, country=France, district=Île-de-France, population=2125246}
City{name=Hamburg, country=Germany, district=Hamburg, population=1704735}
City{name=Wien, country=Austria, district=Wien, population=1608144}
City{name=Munich [München], country=Germany, district=Baijeri, population=1194560}
City{name=Köln, country=Germany, district=Nordrhein-Westfalen, population=962507}
City{name=Marseille, country=France, district=Provence-Alpes-Côte, population=798430}
City{name=Amsterdam, country=Netherlands, district=Noord-Holland, population=731200}
City{name=Frankfurt am Main, country=Germany, district=Hessen, population=643821}
City{name=Essen, country=Germany, district=Nordrhein-Westfalen, population=599515}
City{name=Rotterdam, country=Netherlands, district=Zuid-Holland, population=593321}
City{name=Dortmund, country=Germany, district=Nordrhein-Westfalen, population=590213}
City{name=Stuttgart, country=Germany, district=Baden-Württemberg, population=582443}
City{name=Düsseldorf, country=Germany, district=Nordrhein-Westfalen, population=568855}
City{name=Bremen, country=Germany, district=Bremen, population=540330}
City{name=Duisburg, country=Germany, district=Nordrhein-Westfalen, population=519793}
City{name=Hannover, country=Germany, district=Niedersachsen, population=514718}
City{name=Leipzig, country=Germany, district=Saksi, population=489532}
City{name=Nürnberg, country=Germany, district=Baijeri, population=486628}
City{name=Dresden, country=Germany, district=Saksi, population=476668}
City{name=Antwerpen, country=Belgium, district=Antwerpen, population=446525}
City{name=Lyon, country=France, district=Rhône-Alpes, population=445452}
City{name=Haag, country=Netherlands, district=Zuid-Holland, population=440900}
City{name=Bochum, country=Germany, district=Nordrhein-Westfalen, population=392830}
City{name=Toulouse, country=France, district=Midi-Pyrénées, population=390350}
City{name=Wuppertal, country=Germany, district=Nordrhein-Westfalen, population=368993}
City{name=Nice, country=France, district=Provence-Alpes-Côte, population=342738}
City{name=Zürich, country=Switzerland, district=Zürich, population=336800}
City{name=Bielefeld, country=Germany, district=Nordrhein-Westfalen, population=321125}
City{name=Mannheim, country=Germany, district=Baden-Württemberg, population=307730}
City{name=Bonn, country=Germany, district=Nordrhein-Westfalen, population=301048}
City{name=Gelsenkirchen, country=Germany, district=Nordrhein-Westfalen, population=281979}
City{name=Karlsruhe, country=Germany, district=Baden-Württemberg, population=277204}
City{name=Nantes, country=France, district=Pays de la Loire, population=270251}
City{name=Wiesbaden, country=Germany, district=Hessen, population=268716}
City{name=Münster, country=Germany, district=Nordrhein-Westfalen, population=264670}
City{name=Strasbourg, country=France, district=Alsace, population=264115}
City{name=Mönchengladbach, country=Germany, district=Nordrhein-Westfalen, population=263697}
City{name=Chemnitz, country=Germany, district=Saksi, population=263222}
City{name=Augsburg, country=Germany, district=Baijeri, population=254867}
City{name=Halle/Saale, country=Germany, district=Anhalt Sachsen, population=254360}
