Country{code=CHN, name=China, continent=ASIA, region=Eastern Asia, population=1277558000, capital=Peking}
Country{code=IND, name=India, continent=ASIA, region=Southern and Central Asia, population=1013662000, capital=New Delhi}
Country{code=USA, name=United States, continent=NORTH_AMERICA, region=North America, population=278357000, capital=Washington}
Country{code=IDN, name=Indonesia, continent=ASIA, region=Southeast Asia, population=212107000, capital=Jakarta}
Country{code=BRA, name=Brazil, continent=SOUTH_AMERICA, region=South America, population=170115000, capital=Brasília}
Country{code=PAK, name=Pakistan, continent=ASIA, region=Southern and Central Asia, population=156483000, capital=Islamabad}
Country{code=RUS, name=Russian Federation, continent=EUROPE, region=Eastern Europe, population=146934000, capital=Moscow}
Country{code=BGD, name=Bangladesh, continent=ASIA, region=Southern and Central Asia, population=129155000, capital=Dhaka}
Country{code=JPN, name=Japan, continent=ASIA, region=Eastern Asia, population=126714000, capital=Tokyo}
Country{code=NGA, name=Nigeria, continent=AFRICA, region=Western Africa, population=111506000, capital=Abuja}
Country{code=MEX, name=Mexico, continent=NORTH_AMERICA, region=Central America, population=98881000, capital=Ciudad de México}
Country{code=DEU, name=Germany, continent=EUROPE, region=Western Europe, population=82164700, capital=Berlin}
Country{code=VNM, name=Vietnam, continent=ASIA, region=Southeast Asia, population=79832000, capital=Hanoi}
Country{code=PHL, name=Philippines, continent=ASIA, region=Southeast Asia, population=75967000, capital=Manila}
Country{code=EGY, name=Egypt, continent=AFRICA, region=Northern Africa, population=68470000, capital=Cairo}
Country{code=IRN, name=Iran, continent=ASIA, region=Southern and Central Asia, population=67702000, capital=Teheran}
Country{code=TUR, name=Turkey, continent=ASIA, region=Middle East, population=66591000, capital=Ankara}
Country{code=ETH, name=Ethiopia, continent=AFRICA, region=Eastern Africa, population=62565000, capital=Addis Abeba}
Country{code=THA, name=Thailand, continent=ASIA, region=Southeast Asia, population=61399000, capital=Bangkok}
Country{code=GBR, name=United Kingdom, continent=EUROPE, region=British Islands, population=59623400, capital=London}
Country{code=FRA, name=France, continent=EUROPE, region=Western Europe, population=59225700, capital=Paris}
Country{code=ITA, name=Italy, continent=EUROPE, region=Southern Europe, population=57680000, capital=Roma}
Country{code=COD, name=Congo, The Democratic Republic of the, continent=AFRICA, region=Central Africa, population=51654000, capital=Kinshasa}
Country{code=UKR, name=Ukraine, continent=EUROPE, region=Eastern Europe, population=50456000, capital=Kyiv}
Country{code=KOR, name=South Korea, continent=ASIA, region=Eastern Asia, population=46844000, capital=Seoul}
Country{code=MMR, name=Myanmar, continent=ASIA, region=Southeast Asia, population=45611000, capital=Rangoon (Yangon)}
Country{code=COL, name=Colombia, continent=SOUTH_AMERICA, region=South America, population=42321000, capital=Santafé de Bogotá}
Country{code=ZAF, name=South Africa, continent=AFRICA, region=Southern Africa, population=40377000, capital=Pretoria}
Country{code=ESP, name=Spain, continent=EUROPE, region=Southern Europe, population=39441700, capital=Madrid}
Country{code=POL, name=Poland, continent=EUROPE, region=Eastern Europe, population=38653600, capital=Warszawa}
Country{code=ARG, name=Argentina, continent=SOUTH_AMERICA, region=South America, population=37032000, capital=Buenos Aires}
Country{code=TZA, name=Tanzania, continent=AFRICA, region=Eastern Africa, population=33517000, capital=Dodoma}
Country{code=DZA, name=Algeria, continent=AFRICA, region=Northern Africa, population=31471000, capital=Alger}
Country{code=CAN, name=Canada, continent=NORTH_AMERICA, region=North America, population=31147000, capital=Ottawa}
Country{code=KEN, name=Kenya, continent=AFRICA, region=Eastern Africa, population=30080000, capital=Nairobi}
Country{code=SDN, name=Sudan, continent=AFRICA, region=Northern Africa, population=29490000, capital=Khartum}
Country{code=MAR, name=Morocco, continent=AFRICA, region=Northern Africa, population=28351000, capital=Rabat}
Country{code=PER, name=Peru, continent=SOUTH_AMERICA, region=South America, population=25662000, capital=Lima}
Country{code=UZB, name=Uzbekistan, continent=ASIA, region=Southern and Central Asia, population=24318000, capital=Toskent}
Country{code=VEN, name=Venezuela, continent=SOUTH_AMERICA, region=South America, population=24170000, capital=Caracas}
Country{code=PRK, name=North Korea, continent=ASIA, region=Eastern Asia, population=24039000, capital=Pyongyang}
Country{code=NPL, name=Nepal, continent=ASIA, region=Southern and Central Asia, population=23930000, capital=Kathmandu}
Country{code=IRQ, name=Iraq, continent=ASIA, region=Middle East, population=23115000, capital=Baghdad}
Country{code=AFG, name=Afghanistan, continent=ASIA, region=Southern and Central Asia, population=22720000, capital=Kabul}
Country{code=ROM, name=Romania, continent=EUROPE, region=Eastern Europe, population=22455500, capital=Bucuresti}
Country{code=TWN, name=Taiwan, continent=ASIA, region=Eastern Asia, population=22256000, capital=Taipei}
Country{code=MYS, name=Malaysia, continent=ASIA, region=Southeast Asia, population=22244000, capital=Kuala Lumpur}
Country{code=UGA, name=Uganda, continent=AFRICA, region=Eastern Africa, population=21778000, capital=Kampala}
Country{code=SAU, name=Saudi Arabia, continent=ASIA, region=Middle East, population=21607000, capital=Riyadh}
Country{code=GHA, name=Ghana, continent=AFRICA, region=Western Africa, population=20212000, capital=Accra}
Country{code=MOZ, name=Mozambique, continent=AFRICA, region=Eastern Africa, population=19680000, capital=Maputo}
Country{code=AUS, name=Australia, continent=OCEANIA, region=Australia and New Zealand, population=18886000, capital=Canberra}
Country{code=LKA, name=Sri Lanka, continent=ASIA, region=Southern and Central Asia, population=18827000, capital=Colombo}
Country{code=YEM, name=Yemen, continent=ASIA, region=Middle East, population=18112000, capital=Sanaa}
Country{code=KAZ, name=Kazakstan, continent=ASIA, region=Southern and Central Asia, population=16223000, capital=Astana}
Country{code=SYR, name=Syria, continent=ASIA, region=Middle East, population=16125000, capital=Damascus}
Country{code=MDG, name=Madagascar, continent=AFRICA, region=Eastern Africa, population=15942000, capital=Antananarivo}
Country{code=NLD, name=Netherlands, continent=EUROPE, region=Western Europe, population=15864000, capital=Amsterdam}
Country{code=CHL, name=Chile, continent=SOUTH_AMERICA, region=South America, population=15211000, capital=Santiago de Chile}
Country{code=CMR, name=Cameroon, continent=AFRICA, region=Central Africa, population=15085000, capital=Yaoundé}
Country{code=CIV, name=Côte d’Ivoire, continent=AFRICA, region=Western Africa, population=14786000, capital=Yamoussoukro}
Country{code=AGO, name=Angola, continent=AFRICA, region=Central Africa, population=12878000, capital=Luanda}
Country{code=ECU, name=Ecuador, continent=SOUTH_AMERICA, region=South America, population=12646000, capital=Quito}
Country{code=BFA, name=Burkina Faso, continent=AFRICA, region=Western Africa, population=11937000, capital=Ouagadougou}
Country{code=ZWE, name=Zimbabwe, continent=AFRICA, region=Eastern Africa, population=11669000, capital=Harare}
Country{code=GTM, name=Guatemala, continent=NORTH_AMERICA, region=Central America, population=11385000, capital=Ciudad de Guatemala}
Country{code=MLI, name=Mali, continent=AFRICA, region=Western Africa, population=11234000, capital=Bamako}
Country{code=CUB, name=Cuba, continent=NORTH_AMERICA, region=Caribbean, population=11201000, capital=La Habana}
Country{code=KHM, name=Cambodia, continent=ASIA, region=Southeast Asia, population=11168000, capital=Phnom Penh}
Country{code=MWI, name=Malawi, continent=AFRICA, region=Eastern Africa, population=10925000, capital=Lilongwe}
Country{code=NER, name=Niger, continent=AFRICA, region=Western Africa, population=10730000, capital=Niamey}
Country{code=YUG, name=Yugoslavia, continent=EUROPE, region=Southern Europe, population=10640000, capital=Beograd}
Country{code=GRC, name=Greece, continent=EUROPE, region=Southern Europe, population=10545700, capital=Athenai}
Country{code=CZE, name=Czech Republic, continent=EUROPE, region=Eastern Europe, population=10278100, capital=Praha}
Country{code=BEL, name=Belgium, continent=EUROPE, region=Western Europe, population=10239000, capital=Bruxelles [Brussel]}
Country{code=BLR, name=Belarus, continent=EUROPE, region=Eastern Europe, population=10236000, capital=Minsk}
Country{code=SOM, name=Somalia, continent=AFRICA, region=Eastern Africa, population=10097000, capital=Mogadishu}
Country{code=HUN, name=Hungary, continent=EUROPE, region=Eastern Europe, population=10043200, capital=Budapest}
Country{code=PRT, name=Portugal, continent=EUROPE, region=Southern Europe, population=9997600, capital=Lisboa}
Country{code=TUN, name=Tunisia, continent=AFRICA, region=Northern Africa, population=9586000, capital=Tunis}
Country{code=SEN, name=Senegal, continent=AFRICA, region=Western Africa, population=9481000, capital=Dakar}
Country{code=ZMB, name=Zambia, continent=AFRICA, region=Eastern Africa, population=9169000, capital=Lusaka}
Country{code=SWE, name=Sweden, continent=EUROPE, region=Nordic Countries, population=8861400, capital=Stockholm}
Country{code=DOM, name=Dominican Republic, continent=NORTH_AMERICA, region=Caribbean, population=8495000, capital=Santo Domingo de Guzmán}
Country{code=BOL, name=Bolivia, continent=SOUTH_AMERICA, region=South America, population=8329000, capital=La Paz}
Country{code=HTI, name=Haiti, continent=NORTH_AMERICA, region=Caribbean, population=8222000, capital=Port-au-Prince}
Country{code=BGR, name=Bulgaria, continent=EUROPE, region=Eastern Europe, population=8190900, capital=Sofija}
Country{code=AUT, name=Austria, continent=EUROPE, region=Western Europe, population=8091800, capital=Wien}
Country{code=AZE, name=Azerbaijan, continent=ASIA, region=Middle East, population=7734000, capital=Baku}
Country{code=RWA, name=Rwanda, continent=AFRICA, region=Eastern Africa, population=7733000, capital=Kigali}
Country{code=TCD, name=Chad, continent=AFRICA, region=Central Africa, population=7651000, capital=N´Djaména}
Country{code=GIN, name=Guinea, continent=AFRICA, region=Western Africa, population=7430000, capital=Conakry}
Country{code=CHE, name=Switzerland, continent=EUROPE, region=Western Europe, population=7160400, capital=Bern}
Country{code=HKG, name=Hong Kong, continent=ASIA, region=Eastern Asia, population=6782000, capital=Victoria}
Country{code=BDI, name=Burundi, continent=AFRICA, region=Eastern Africa, population=6695000, capital=Bujumbura}
Country{code=HND, name=Honduras, continent=NORTH_AMERICA, region=Central America, population=6485000, capital=Tegucigalpa}
Country{code=SLV, name=El Salvador, continent=NORTH_AMERICA, region=Central America, population=6276000, capital=San Salvador}
Country{code=ISR, name=Israel, continent=ASIA, region=Middle East, population=6217000, capital=Jerusalem}
Country{code=TJK, name=Tajikistan, continent=ASIA, region=Southern and Central Asia, population=6188000, capital=Dushanbe}
Country{code=BEN, name=Benin, continent=AFRICA, region=Western Africa, population=6097000, capital=Porto-Novo}
Country{code=LBY, name=Libyan Arab Jamahiriya, continent=AFRICA, region=Northern Africa, population=5605000, capital=Tripoli}
Country{code=PRY, name=Paraguay, continent=SOUTH_AMERICA, region=South America, population=5496000, capital=Asunción}
Country{code=LAO, name=Laos, continent=ASIA, region=Southeast Asia, population=5433000, capital=Vientiane}
Country{code=SVK, name=Slovakia, continent=EUROPE, region=Eastern Europe, population=5398700, capital=Bratislava}
Country{code=DNK, name=Denmark, continent=EUROPE, region=Nordic Countries, population=5330000, capital=København}
Country{code=FIN, name=Finland, continent=EUROPE, region=Nordic Countries, population=5171300, capital=Helsinki [Helsingfors]}
Country{code=JOR, name=Jordan, continent=ASIA, region=Middle East, population=5083000, capital=Amman}
Country{code=NIC, name=Nicaragua, continent=NORTH_AMERICA, region=Central America, population=5074000, capital=Managua}
Country{code=GEO, name=Georgia, continent=ASIA, region=Middle East, population=4968000, capital=Tbilisi}
Country{code=SLE, name=Sierra Leone, continent=AFRICA, region=Western Africa, population=4854000, capital=Freetown}
Country{code=PNG, name=Papua New Guinea, continent=OCEANIA, region=Melanesia, population=4807000, capital=Port Moresby}
Country{code=KGZ, name=Kyrgyzstan, continent=ASIA, region=Southern and Central Asia, population=4699000, capital=Bishkek}
Country{code=TGO, name=Togo, continent=AFRICA, region=Western Africa, population=4629000, capital=Lomé}
Country{code=NOR, name=Norway, continent=EUROPE, region=Nordic Countries, population=4478500, capital=Oslo}
Country{code=HRV, name=Croatia, continent=EUROPE, region=Southern Europe, population=4473000, capital=Zagreb}
Country{code=TKM, name=Turkmenistan, continent=ASIA, region=Southern and Central Asia, population=4459000, capital=Ashgabat}
Country{code=MDA, name=Moldova, continent=EUROPE, region=Eastern Europe, population=4380000, capital=Chisinau}
Country{code=CRI, name=Costa Rica, continent=NORTH_AMERICA, region=Central America, population=4023000, capital=San José}
Country{code=BIH, name=Bosnia and Herzegovina, continent=EUROPE, region=Southern Europe, population=3972000, capital=Sarajevo}
Country{code=PRI, name=Puerto Rico, continent=NORTH_AMERICA, region=Caribbean, population=3869000, capital=San Juan}
Country{code=NZL, name=New Zealand, continent=OCEANIA, region=Australia and New Zealand, population=3862000, capital=Wellington}
