Country{code=NGA, name=Nigeria, continent=AFRICA, region=Western Africa, population=111506000, capital=Abuja}
Country{code=EGY, name=Egypt, continent=AFRICA, region=Northern Africa, population=68470000, capital=Cairo}
Country{code=ETH, name=Ethiopia, continent=AFRICA, region=Eastern Africa, population=62565000, capital=Addis Abeba}
Country{code=COD, name=Congo, The Democratic Republic of the, continent=AFRICA, region=Central Africa, population=51654000, capital=Kinshasa}
Country{code=ZAF, name=South Africa, continent=AFRICA, region=Southern Africa, population=40377000, capital=Pretoria}
Country{code=TZA, name=Tanzania, continent=AFRICA, region=Eastern Africa, population=33517000, capital=Dodoma}
Country{code=DZA, name=Algeria, continent=AFRICA, region=Northern Africa, population=31471000, capital=Alger}
Country{code=KEN, name=Kenya, continent=AFRICA, region=Eastern Africa, population=30080000, capital=Nairobi}
Country{code=SDN, name=Sudan, continent=AFRICA, region=Northern Africa, population=29490000, capital=Khartum}
Country{code=MAR, name=Morocco, continent=AFRICA, region=Northern Africa, population=28351000, capital=Rabat}
Country{code=UGA, name=Uganda, continent=AFRICA, region=Eastern Africa, population=21778000, capital=Kampala}
Country{code=GHA, name=Ghana, continent=AFRICA, region=Western Africa, population=20212000, capital=Accra}
Country{code=MOZ, name=Mozambique, continent=AFRICA, region=Eastern Africa, population=19680000, capital=Maputo}
Country{code=MDG, name=Madagascar, continent=AFRICA, region=Eastern Africa, population=15942000, capital=Antananarivo}
Country{code=CMR, name=Cameroon, continent=AFRICA, region=Central Africa, population=15085000, capital=Yaoundé}
Country{code=CIV, name=Côte d’Ivoire, continent=AFRICA, region=Western Africa, population=14786000, capital=Yamoussoukro}
Country{code=AGO, name=Angola, continent=AFRICA, region=Central Africa, population=12878000, capital=Luanda}
Country{code=BFA, name=Burkina Faso, continent=AFRICA, region=Western Africa, population=11937000, capital=Ouagadougou}
Country{code=ZWE, name=Zimbabwe, continent=AFRICA, region=Eastern Africa, population=11669000, capital=Harare}
Country{code=MLI, name=Mali, continent=AFRICA, region=Western Africa, population=11234000, capital=Bamako}
Country{code=MWI, name=Malawi, continent=AFRICA, region=Eastern Africa, population=10925000, capital=Lilongwe}
Country{code=NER, name=Niger, continent=AFRICA, region=Western Africa, population=10730000, capital=Niamey}
Country{code=SOM, name=Somalia, continent=AFRICA, region=Eastern Africa, population=10097000, capital=Mogadishu}
Country{code=TUN, name=Tunisia, continent=AFRICA, region=Northern Africa, population=9586000, capital=Tunis}
Country{code=SEN, name=Senegal, continent=AFRICA, region=Western Africa, population=9481000, capital=Dakar}
Country{code=ZMB, name=Zambia, continent=AFRICA, region=Eastern Africa, population=9169000, capital=Lusaka}
Country{code=RWA, name=Rwanda, continent=AFRICA, region=Eastern Africa, population=7733000, capital=Kigali}
Country{code=TCD, name=Chad, continent=AFRICA, region=Central Africa, population=7651000, capital=N´Djaména}
Country{code=GIN, name=Guinea, continent=AFRICA, region=Western Africa, population=7430000, capital=Conakry}
Country{code=BDI, name=Burundi, continent=AFRICA, region=Eastern Africa, population=6695000, capital=Bujumbura}
Country{code=BEN, name=Benin, continent=AFRICA, region=Western Africa, population=6097000, capital=Porto-Novo}
Country{code=LBY, name=Libyan Arab Jamahiriya, continent=AFRICA, region=Northern Africa, population=5605000, capital=Tripoli}
Country{code=SLE, name=Sierra Leone, continent=AFRICA, region=Western Africa, population=4854000, capital=Freetown}
Country{code=TGO, name=Togo, continent=AFRICA, region=Western Africa, population=4629000, capital=Lomé}
Country{code=ERI, name=Eritrea, continent=AFRICA, region=Eastern Africa, population=3850000, capital=Asmara}
Country{code=CAF, name=Central African Republic, continent=AFRICA, region=Central Africa, population=3615000, capital=Bangui}
Country{code=LBR, name=Liberia, continent=AFRICA, region=Western Africa, population=3154000, capital=Monrovia}
Country{code=COG, name=Congo, continent=AFRICA, region=Central Africa, population=2943000, capital=Brazzaville}
Country{code=MRT, name=Mauritania, continent=AFRICA, region=Western Africa, population=2670000, capital=Nouakchott}
Country{code=LSO, name=Lesotho, continent=AFRICA, region=Southern Africa, population=2153000, capital=Maseru}
Country{code=NAM, name=Namibia, continent=AFRICA, region=Southern Africa, population=1726000, capital=Windhoek}
Country{code=BWA, name=Botswana, continent=AFRICA, region=Southern Africa, population=1622000, capital=Gaborone}
