Country{code=CHN, name=China, continent=ASIA, region=Eastern Asia, population=1277558000, capital=Peking}
Country{code=IND, name=India, continent=ASIA, region=Southern and Central Asia, population=1013662000, capital=New Delhi}
Country{code=IDN, name=Indonesia, continent=ASIA, region=Southeast Asia, population=212107000, capital=Jakarta}
Country{code=PAK, name=Pakistan, continent=ASIA, region=Southern and Central Asia, population=156483000, capital=Islamabad}
Country{code=BGD, name=Bangladesh, continent=ASIA, region=Southern and Central Asia, population=129155000, capital=Dhaka}
Country{code=JPN, name=Japan, continent=ASIA, region=Eastern Asia, population=126714000, capital=Tokyo}
Country{code=VNM, name=Vietnam, continent=ASIA, region=Southeast Asia, population=79832000, capital=Hanoi}
Country{code=PHL, name=Philippines, continent=ASIA, region=Southeast Asia, population=75967000, capital=Manila}
Country{code=IRN, name=Iran, continent=ASIA, region=Southern and Central Asia, population=67702000, capital=Teheran}
Country{code=TUR, name=Turkey, continent=ASIA, region=Middle East, population=66591000, capital=Ankara}
Country{code=THA, name=Thailand, continent=ASIA, region=Southeast Asia, population=61399000, capital=Bangkok}
Country{code=KOR, name=South Korea, continent=ASIA, region=Eastern Asia, population=46844000, capital=Seoul}
Country{code=MMR, name=Myanmar, continent=ASIA, region=Southeast Asia, population=45611000, capital=Rangoon (Yangon)}
Country{code=UZB, name=Uzbekistan, continent=ASIA, region=Southern and Central Asia, population=24318000, capital=Toskent}
Country{code=PRK, name=North Korea, continent=ASIA, region=Eastern Asia, population=24039000, capital=Pyongyang}
Country{code=NPL, name=Nepal, continent=ASIA, region=Southern and Central Asia, population=23930000, capital=Kathmandu}
Country{code=IRQ, name=Iraq, continent=ASIA, region=Middle East, population=23115000, capital=Baghdad}
Country{code=AFG, name=Afghanistan, continent=ASIA, region=Southern and Central Asia, population=22720000, capital=Kabul}
Country{code=TWN, name=Taiwan, continent=ASIA, region=Eastern Asia, population=22256000, capital=Taipei}
Country{code=MYS, name=Malaysia, continent=ASIA, region=Southeast Asia, population=22244000, capital=Kuala Lumpur}
Country{code=SAU, name=Saudi Arabia, continent=ASIA, region=Middle East, population=21607000, capital=Riyadh}
Country{code=LKA, name=Sri Lanka, continent=ASIA, region=Southern and Central Asia, population=18827000, capital=Colombo}
Country{code=YEM, name=Yemen, continent=ASIA, region=Middle East, population=18112000, capital=Sanaa}
Country{code=KAZ, name=Kazakstan, continent=ASIA, region=Southern and Central Asia, population=16223000, capital=Astana}
Country{code=SYR, name=Syria, continent=ASIA, region=Middle East, population=16125000, capital=Damascus}
Country{code=KHM, name=Cambodia, continent=ASIA, region=Southeast Asia, population=11168000, capital=Phnom Penh}
Country{code=AZE, name=Azerbaijan, continent=ASIA, region=Middle East, population=7734000, capital=Baku}
Country{code=HKG, name=Hong Kong, continent=ASIA, region=Eastern Asia, population=6782000, capital=Victoria}
Country{code=ISR, name=Israel, continent=ASIA, region=Middle East, population=6217000, capital=Jerusalem}
Country{code=TJK, name=Tajikistan, continent=ASIA, region=Southern and Central Asia, population=6188000, capital=Dushanbe}
Country{code=LAO, name=Laos, continent=ASIA, region=Southeast Asia, population=5433000, capital=Vientiane}
Country{code=JOR, name=Jordan, continent=ASIA, region=Middle East, population=5083000, capital=Amman}
Country{code=GEO, name=Georgia, continent=ASIA, region=Middle East, population=4968000, capital=Tbilisi}
Country{code=KGZ, name=Kyrgyzstan, continent=ASIA, region=Southern and Central Asia, population=4699000, capital=Bishkek}
Country{code=TKM, name=Turkmenistan, continent=ASIA, region=Southern and Central Asia, population=4459000, capital=Ashgabat}
Country{code=SGP, name=Singapore, continent=ASIA, region=Southeast Asia, population=3567000, capital=Singapore}
Country{code=ARM, name=Armenia, continent=ASIA, region=Middle East, population=3520000, capital=Yerevan}
Country{code=LBN, name=Lebanon, continent=ASIA, region=Middle East, population=3282000, capital=Beirut}
Country{code=PSE, name=Palestine, continent=ASIA, region=Middle East, population=3101000, capital=Gaza}
Country{code=MNG, name=Mongolia, continent=ASIA, region=Eastern Asia, population=2662000, capital=Ulan Bator}
Country{code=OMN, name=Oman, continent=ASIA, region=Middle East, population=2542000, capital=Masqat}
Country{code=ARE, name=United Arab Emirates, continent=ASIA, region=Middle East, population=2441000, capital=Abu Dhabi}
Country{code=BTN, name=Bhutan, continent=ASIA, region=Southern and Central Asia, population=2124000, capital=Thimphu}
Country{code=KWT, name=Kuwait, continent=ASIA, region=Middle East, population=1972000, capital=Kuwait}
Country{code=TMP, name=East Timor, continent=ASIA, region=Southeast Asia, population=885000, capital=Dili}
Country{code=CYP, name=Cyprus, continent=ASIA, region=Middle East, population=754700, capital=Nicosia}
Country{code=BHR, name=Bahrain, continent=ASIA, region=Middle East, population=617000, capital=al-Manama}
Country{code=QAT, name=Qatar, continent=ASIA, region=Middle East, population=599000, capital=Doha}
Country{code=MAC, name=Macao, continent=ASIA, region=Eastern Asia, population=473000, capital=Macao}
Country{code=BRN, name=Brunei, continent=ASIA, region=Southeast Asia, population=328000, capital=Bandar Seri Begawan}
Country{code=MDV, name=Maldives, continent=ASIA, region=Southern and Central Asia, population=286000, capital=Male}
