Country{code=TUR, name=Turkey, continent=ASIA, region=Middle East, population=66591000, capital=Ankara}
Country{code=IRQ, name=Iraq, continent=ASIA, region=Middle East, population=23115000, capital=Baghdad}
Country{code=SAU, name=Saudi Arabia, continent=ASIA, region=Middle East, population=21607000, capital=Riyadh}
Country{code=YEM, name=Yemen, continent=ASIA, region=Middle East, population=18112000, capital=Sanaa}
Country{code=SYR, name=Syria, continent=ASIA, region=Middle East, population=16125000, capital=Damascus}
Country{code=AZE, name=Azerbaijan, continent=ASIA, region=Middle East, population=7734000, capital=Baku}
Country{code=ISR, name=Israel, continent=ASIA, region=Middle East, population=6217000, capital=Jerusalem}
Country{code=JOR, name=Jordan, continent=ASIA, region=Middle East, population=5083000, capital=Amman}
Country{code=GEO, name=Georgia, continent=ASIA, region=Middle East, population=4968000, capital=Tbilisi}
Country{code=ARM, name=Armenia, continent=ASIA, region=Middle East, population=3520000, capital=Yerevan}
Country{code=LBN, name=Lebanon, continent=ASIA, region=Middle East, population=3282000, capital=Beirut}
Country{code=PSE, name=Palestine, continent=ASIA, region=Middle East, population=3101000, capital=Gaza}
Country{code=OMN, name=Oman, continent=ASIA, region=Middle East, population=2542000, capital=Masqat}
Country{code=ARE, name=United Arab Emirates, continent=ASIA, region=Middle East, population=2441000, capital=Abu Dhabi}
Country{code=KWT, name=Kuwait, continent=ASIA, region=Middle East, population=1972000, capital=Kuwait}
Country{code=CYP, name=Cyprus, continent=ASIA, region=Middle East, population=754700, capital=Nicosia}
Country{code=BHR, name=Bahrain, continent=ASIA, region=Middle East, population=617000, capital=al-Manama}
Country{code=QAT, name=Qatar, continent=ASIA, region=Middle East, population=599000, capital=Doha}
