Country{code=IDN, name=Indonesia, continent=ASIA, region=Southeast Asia, population=212107000, capital=Jakarta}
Country{code=VNM, name=Vietnam, continent=ASIA, region=Southeast Asia, population=79832000, capital=Hanoi}
Country{code=PHL, name=Philippines, continent=ASIA, region=Southeast Asia, population=75967000, capital=Manila}
Country{code=THA, name=Thailand, continent=ASIA, region=Southeast Asia, population=61399000, capital=Bangkok}
Country{code=MMR, name=Myanmar, continent=ASIA, region=Southeast Asia, population=45611000, capital=Rangoon (Yangon)}
Country{code=MYS, name=Malaysia, continent=ASIA, region=Southeast Asia, population=22244000, capital=Kuala Lumpur}
Country{code=KHM, name=Cambodia, continent=ASIA, region=Southeast Asia, population=11168000, capital=Phnom Penh}
Country{code=LAO, name=Laos, continent=ASIA, region=Southeast Asia, population=5433000, capital=Vientiane}
Country{code=SGP, name=Singapore, continent=ASIA, region=Southeast Asia, population=3567000, capital=Singapore}
Country{code=TMP, name=East Timor, continent=ASIA, region=Southeast Asia, population=885000, capital=Dili}
Country{code=BRN, name=Brunei, continent=ASIA, region=Southeast Asia, population=328000, capital=Bandar Seri Begawan}
