Country{code=IND, name=India, continent=ASIA, region=Southern and Central Asia, population=1013662000, capital=New Delhi}
Country{code=PAK, name=Pakistan, continent=ASIA, region=Southern and Central Asia, population=156483000, capital=Islamabad}
Country{code=BGD, name=Bangladesh, continent=ASIA, region=Southern and Central Asia, population=129155000, capital=Dhaka}
Country{code=IRN, name=Iran, continent=ASIA, region=Southern and Central Asia, population=67702000, capital=Teheran}
Country{code=UZB, name=Uzbekistan, continent=ASIA, region=Southern and Central Asia, population=24318000, capital=Toskent}
Country{code=NPL, name=Nepal, continent=ASIA, region=Southern and Central Asia, population=23930000, capital=Kathmandu}
Country{code=AFG, name=Afghanistan, continent=ASIA, region=Southern and Central Asia, population=22720000, capital=Kabul}
Country{code=LKA, name=Sri Lanka, continent=ASIA, region=Southern and Central Asia, population=18827000, capital=Colombo}
Country{code=KAZ, name=Kazakstan, continent=ASIA, region=Southern and Central Asia, population=16223000, capital=Astana}
Country{code=TJK, name=Tajikistan, continent=ASIA, region=Southern and Central Asia, population=6188000, capital=Dushanbe}
Country{code=KGZ, name=Kyrgyzstan, continent=ASIA, region=Southern and Central Asia, population=4699000, capital=Bishkek}
Country{code=TKM, name=Turkmenistan, continent=ASIA, region=Southern and Central Asia, population=4459000, capital=Ashgabat}
Country{code=BTN, name=Bhutan, continent=ASIA, region=Southern and Central Asia, population=2124000, capital=Thimphu}
Country{code=MDV, name=Maldives, continent=ASIA, region=Southern and Central Asia, population=286000, capital=Male}
